"population","pop_name","sample","vaccine_status","percentage"
"Pop1","CD3+(negative all other markers)","Minipig_1817_30DPI","vaccinated",19.1822194687524
"Pop1","CD3+(negative all other markers)","Minipig_3273_30DPI","control",21.3082479955545
"Pop1","CD3+(negative all other markers)","Minipig_4515_30DPI","vaccinated",16.7206246429252
"Pop1","CD3+(negative all other markers)","Minipig_4754_30DPI","control",15.5652391999498
"Pop1","CD3+(negative all other markers)","Minipig_5273_30DPI","vaccinated",20.3650570783224
"Pop1","CD3+(negative all other markers)","Minipig_6059_30DPI","vaccinated",7.32758620689655
"Pop1","CD3+(negative all other markers)","Minipig_7488_30DPI","control",20.5604161740364
"Pop1","CD3+(negative all other markers)","Minipig_7554_30DPI","control",8.54607721046077
"Pop1","CD3+(negative all other markers)","Minipig_9739_30DPI","control",15.3088106156698
"Pop1","CD3+(negative all other markers)","Minipig_9947_30DPI","vaccinated",25.7783372875611
"Pop1","CD3+(negative all other markers)","Minipig_1817_12wks","vaccinated",32.3220076986027
"Pop1","CD3+(negative all other markers)","Minipig_3273_12wks","control",30.8923125668343
"Pop1","CD3+(negative all other markers)","Minipig_4515_12wks","vaccinated",29.9361065189223
"Pop1","CD3+(negative all other markers)","Minipig_4754_12wks","control",16.871810267187
"Pop1","CD3+(negative all other markers)","Minipig_5273_12wks","vaccinated",37.7455377857518
"Pop1","CD3+(negative all other markers)","Minipig_6059_12wks","vaccinated",17.556622706422
"Pop1","CD3+(negative all other markers)","Minipig_7488_12wks","control",31.4577799243339
"Pop1","CD3+(negative all other markers)","Minipig_7554_12wks","control",14.1425032115985
"Pop1","CD3+(negative all other markers)","Minipig_9739_12wks","control",23.9551950560062
"Pop1","CD3+(negative all other markers)","Minipig_9947_12wks","vaccinated",34.7320405043943
"Pop10","CD3+CD8+(negative all other markers)","Minipig_1817_30DPI","vaccinated",2.30387981104313
"Pop10","CD3+CD8+(negative all other markers)","Minipig_3273_30DPI","control",2.92926887354132
"Pop10","CD3+CD8+(negative all other markers)","Minipig_4515_30DPI","vaccinated",1.14263949723862
"Pop10","CD3+CD8+(negative all other markers)","Minipig_4754_30DPI","control",0.670888456956549
"Pop10","CD3+CD8+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.781393077345705
"Pop10","CD3+CD8+(negative all other markers)","Minipig_6059_30DPI","vaccinated",0.471443965517241
"Pop10","CD3+CD8+(negative all other markers)","Minipig_7488_30DPI","control",2.52226688736502
"Pop10","CD3+CD8+(negative all other markers)","Minipig_7554_30DPI","control",0.949564134495641
"Pop10","CD3+CD8+(negative all other markers)","Minipig_9739_30DPI","control",0.634208215435652
"Pop10","CD3+CD8+(negative all other markers)","Minipig_9947_30DPI","vaccinated",1.9125550767443
"Pop10","CD3+CD8+(negative all other markers)","Minipig_1817_12wks","vaccinated",6.13463461946473
"Pop10","CD3+CD8+(negative all other markers)","Minipig_3273_12wks","control",7.88150025743594
"Pop10","CD3+CD8+(negative all other markers)","Minipig_4515_12wks","vaccinated",3.68169429426746
"Pop10","CD3+CD8+(negative all other markers)","Minipig_4754_12wks","control",1.26781054430409
"Pop10","CD3+CD8+(negative all other markers)","Minipig_5273_12wks","vaccinated",4.22866334642868
"Pop10","CD3+CD8+(negative all other markers)","Minipig_6059_12wks","vaccinated",2.11080848623853
"Pop10","CD3+CD8+(negative all other markers)","Minipig_7488_12wks","control",7.58270949046124
"Pop10","CD3+CD8+(negative all other markers)","Minipig_7554_12wks","control",2.04854101670031
"Pop10","CD3+CD8+(negative all other markers)","Minipig_9739_12wks","control",1.90034762456547
"Pop10","CD3+CD8+(negative all other markers)","Minipig_9947_12wks","vaccinated",5.52397783721819
"Pop11","CD3+CD8+CD45RA+CD172(negative all other markers)","Minipig_1817_30DPI","vaccinated",2.40455355068536
