"phenotype","sample","vaccine_status","marker_percent"
"CD4_Tcell","Minipig_1817_12wks","vaccinated",37.8625769102537
"CD4_Tcell","Minipig_3273_12wks","control",40.5600221790962
"CD4_Tcell","Minipig_4515_12wks","vaccinated",36.723113355078
"CD4_Tcell","Minipig_4754_12wks","control",36.8958270789553
"CD4_Tcell","Minipig_5273_12wks","vaccinated",15.989729947103
"CD4_Tcell","Minipig_6059_12wks","vaccinated",47.4698967889908
"CD4_Tcell","Minipig_7488_12wks","control",41.4714642195927
"CD4_Tcell","Minipig_7554_12wks","control",41.4456781060745
"CD4_Tcell","Minipig_9739_12wks","control",35.9598300502124
"CD4_Tcell","Minipig_9947_12wks","vaccinated",29.4564386702331
"CD4_Tcell","Minipig_1817_30DPI","vaccinated",29.5593587857198
"CD4_Tcell","Minipig_3273_30DPI","control",26.4745574343098
"CD4_Tcell","Minipig_4515_30DPI","vaccinated",19.348695486574
"CD4_Tcell","Minipig_4754_30DPI","control",15.2987648128409
"CD4_Tcell","Minipig_5273_30DPI","vaccinated",9.15084549172822
"CD4_Tcell","Minipig_6059_30DPI","vaccinated",29.8760775862069
"CD4_Tcell","Minipig_7488_30DPI","control",30.9371797903366
"CD4_Tcell","Minipig_7554_30DPI","control",29.1874221668742
"CD4_Tcell","Minipig_9739_30DPI","control",21.9045760562006
"CD4_Tcell","Minipig_9947_30DPI","vaccinated",25.7347600832809
"CD8_Tcell","Minipig_1817_12wks","vaccinated",10.2142878792471
"CD8_Tcell","Minipig_3273_12wks","control",12.6500059408293
"CD8_Tcell","Minipig_4515_12wks","vaccinated",5.81743443099057
"CD8_Tcell","Minipig_4754_12wks","control",2.29776227974967
"CD8_Tcell","Minipig_5273_12wks","vaccinated",6.08469700250565
"CD8_Tcell","Minipig_6059_12wks","vaccinated",3.88116399082569
"CD8_Tcell","Minipig_7488_12wks","control",11.9455848023827
"CD8_Tcell","Minipig_7554_12wks","control",3.7116902183887
"CD8_Tcell","Minipig_9739_12wks","control",3.5843955195056
"CD8_Tcell","Minipig_9947_12wks","vaccinated",6.80168131448223
"CD8_Tcell","Minipig_1817_30DPI","vaccinated",15.1242933477891
"CD8_Tcell","Minipig_3273_30DPI","control",13.747717710566
"CD8_Tcell","Minipig_4515_30DPI","vaccinated",5.1418777375738
"CD8_Tcell","Minipig_4754_30DPI","control",4.9720985641733
"CD8_Tcell","Minipig_5273_30DPI","vaccinated",4.15725535681582
"CD8_Tcell","Minipig_6059_30DPI","vaccinated",4.04094827586207
"CD8_Tcell","Minipig_7488_30DPI","control",12.5049263025144
"CD8_Tcell","Minipig_7554_30DPI","control",11.846201743462
"CD8_Tcell","Minipig_9739_30DPI","control",3.89306273782808
"CD8_Tcell","Minipig_9947_30DPI","vaccinated",10.1583305088849
"DN_Tcell","Minipig_1817_12wks","vaccinated",36.7623435274149
"DN_Tcell","Minipig_3273_12wks","control",34.1756109152838
"DN_Tcell","Minipig_4515_12wks","vaccinated",40.3511907421474
"DN_Tcell","Minipig_4754_12wks","control",28.4645405630095
"DN_Tcell","Minipig_5273_12wks","vaccinated",51.7493117208525
"DN_Tcell","Minipig_6059_12wks","vaccinated",29.1033543577982
"DN_Tcell","Minipig_7488_12wks","control",34.2751348305562
"DN_Tcell","Minipig_7554_12wks","control",26.2662873921821
"DN_Tcell","Minipig_9739_12wks","control",37.141753572808
"DN_Tcell","Minipig_9947_12wks","vaccinated",43.1314482231563
"DN_Tcell","Minipig_1817_30DPI","vaccinated",42.2171455122744
"DN_Tcell","Minipig_3273_30DPI","control",39.4125585456855
"DN_Tcell","Minipig_4515_30DPI","vaccinated",58.8649780994096
"DN_Tcell","Minipig_4754_30DPI","control",58.0726064330052
"DN_Tcell","Minipig_5273_30DPI","vaccinated",62.4870276539894
"DN_Tcell","Minipig_6059_30DPI","vaccinated",35.8162715517241
"DN_Tcell","Minipig_7488_30DPI","control",43.6509813194609
"DN_Tcell","Minipig_7554_30DPI","control",42.4968866749689
"DN_Tcell","Minipig_9739_30DPI","control",57.049468240804
"DN_Tcell","Minipig_9947_30DPI","vaccinated",48.3803805742507
"DP_Tcell","Minipig_1817_12wks","vaccinated",2.53387082108326
"DP_Tcell","Minipig_3273_12wks","control",2.66149154421957
"DP_Tcell","Minipig_4515_12wks","vaccinated",3.07403601268933
"DP_Tcell","Minipig_4754_12wks","control",2.40629979447151
"DP_Tcell","Minipig_5273_12wks","vaccinated",1.98904940142915
"DP_Tcell","Minipig_6059_12wks","vaccinated",3.20025802752294
"DP_Tcell","Minipig_7488_12wks","control",3.46132174193029
"DP_Tcell","Minipig_7554_12wks","control",4.28289594420995
"DP_Tcell","Minipig_9739_12wks","control",2.71147161066049
"DP_Tcell","Minipig_9947_12wks","vaccinated",0.907527703477264
"DP_Tcell","Minipig_1817_30DPI","vaccinated",3.41516301401688
"DP_Tcell","Minipig_3273_30DPI","control",2.41009764229578
"DP_Tcell","Minipig_4515_30DPI","vaccinated",6.45591315939821
"DP_Tcell","Minipig_4754_30DPI","control",2.20389993103016
"DP_Tcell","Minipig_5273_30DPI","vaccinated",2.08167999511629
"DP_Tcell","Minipig_6059_30DPI","vaccinated",9.9676724137931
"DP_Tcell","Minipig_7488_30DPI","control",2.45921021518089
"DP_Tcell","Minipig_7554_30DPI","control",6.07098381070984
"DP_Tcell","Minipig_9739_30DPI","control",2.73197385110742
"DP_Tcell","Minipig_9947_30DPI","vaccinated",1.42352200648816
