"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",75.0270332657555,75.0268815706058,75.0274920253309,230.001,228.995,231.105,15,7,4,4,33303.3143338244,11324.1039917996,14172.7605611786,19789.749711792,22693.8695055315,27673.7924649926,33388.8176178351,7746.71236273088,13033.8017757813,8692.06427632163,9617.69575830656,9974.15400480818,9433.70285780721,16583.9342551604,2114.61232565601,13073.7684786756,26998.985001162,6398.48467575914,9850.80041127724,8676.7241404679,8275.05081308509,8833.80133860416,12914.0558916177,12785.4360044445,11283.7769955562,27688.0596748425,14397.8716748456
"2",76.0401936447974,76.0399186663582,76.0407963027375,82.69899999999,81.69600000002,95.16199999998,28,7,10,10,54718.5490152133,54249.8015116466,54234.6527621305,54644.8926116463,52980.0884459561,49583.1458638405,30363.9100044595,62933.5197179221,61202.3913012429,66420.4290298417,53278.051200501,41111.7823171387,81565.5880276212,43836.4135899278,32795.7689826011,30149.1276188684,48303.0208905965,60697.7693521395,64969.2783720289,36962.2177428468,59653.0259626215,66388.5606739216,46477.9871937258,38565.5659890797,55403.0075378251,59392.4018739589,62363.3023411607
"3",76.0401304342836,76.0399363499243,76.0406235215985,627.41299999998,627.374,628.70999999998,27,7,10,10,110146.898611821,108094.890688711,111369.799172685,110022.42613283,112212.613986733,110310.570817633,112792.061620433,131770.737173302,93776.3298142093,158712.2177838,104445.328320315,107558.427986645,79169.8141351566,119637.351391006,28185.4197850375,128270.624826391,154966.869494257,141726.508196803,61047.7998694856,157474.01078364,116748.548986749,178674.553161079,161283.759915499,142939.584073055,102884.565249531,168009.556796371,59174.3257820524
"4",76.0401171638909,76.039832700988,76.0407360364429,498.02249999999,497.29699999998,498.54500000002,26,7,9,10,25275.0306854553,21058.7408005039,18686.8932364709,19498.4302375863,18814.7046933537,19286.3002630128,20203.6304420984,23401.9658883225,33184.5729962542,31531.3410311009,34106.0863256696,16594.5546372159,25273.9640248372,21934.9531239611,9715.06935350783,23409.4259629141,17053.3879819094,18921.751130381,21245.5890728795,29365.9193474577,23249.8687179491,32419.1516907654,21220.5241852898,22012.5784838151,20355.2558953551,18534.6177871616,21302.1649492893
"5",76.0401019500117,76.0396347167144,76.0405891304586,132.67200000002,132.53800000002,148.596,26,6,10,10,22105.8362828001,21317.8052068846,24136.5204326547,22837.7826769761,19224.7809269926,18892.9556007209,20324.3732053978,22124.441702297,23338.8877004238,25198.6663745312,19790.0812705994,25620.309719374,26637.4122913161,24737.2376705439,15806.9484984389,25701.063095803,19157.836666343,24475.3666380802,23415.7135085335,22163.2324798718,19522.7772599478,25962.2268194001,18145.8072514553,24292.6513618257,24022.7953302986,21947.8767624735,19975.8684796147
"6",76.0399767499882,76.039884417855,76.0404762518806,183.96599999998,169.10899999998,210.01200000002,9,0,4,3,11744.729236344,10972.1310239066,11226.8666238771,11278.4233552843,11369.3797117812,11606.3583070965,12014.5212573125,6415.09990543753,24389.107800293,6941.88719944563,33715.6034292324,7730.38519682456,27345.043274069,9304.79160262627,21878.8681088341,5390.27417281731,12784.1400226176,10410.9634302303,34388.7701126508,6509.80449946373,19040.8940890366,7059.87176618871,15072.4594796566,6304.79500099472,27289.1950647403,6180.8502156199,26367.9463484191
"7",76.0765675224023,76.0763143254906,76.077186771747,83.75100000002,82.35299999998,87.07200000002,27,7,10,10,475305.5249525,479669.304320343,485139.801770077,493245.708396028,462013.243981846,452548.633496517,471781.102109107,130900.930768188,1512602.67537737,106336.857011259,1432280.26947017,71824.3752691335,1125016.7250023,27531.5780817344,892818.875655157,64834.6995081699,1297354.12976739,112846.879326992,1156406.55562249,69436.5312599584,1109380.66583423,118293.235032123,1555235.13261135,57523.9742213085,1182120.32822099,48192.2163529551,1099798.55247057
"8",77.0392412987738,77.038866005969,77.0396849695528,355.97700000002,355.29599999998,356.64400000002,22,7,6,9,11523.4641030488,11705.4167104011,12010.3273776952,11698.6072391292,11886.2131694786,13085.3763277134,11714.2989263337,9725.0171947646,10653.1463185884,15385.717619851,11266.9254409748,7463.41384031132,11487.0994399013,15210.0236861129,5374.06312688931,20338.3832885325,11621.1600734279,8085.49296703679,11228.0431264737,13676.6279264365,11220.3640943191,16229.5597611039,11145.0399039406,14021.8827647191,11037.3626707929,11364.977741333,12216.965369519
"9",77.038924707814,77.0383323980224,77.0392851565943,572.695,571.364,574.28400000002,18,7,5,6,8616.50083618304,8110.33626110848,8318.42146266953,8565.85500709881,9236.09208221628,9473.98988374917,10265.0008673269,9022.97605225869,9070.70572363789,8128.61664373419,12473.8505115819,8504.1051900291,10297.917617188,9642.91548945602,6427.06822563921,9062.24475293287,11075.0128995117,9941.29784537772,9066.38033698716,7509.80498988274,10232.5408324867,8908.50855326201,10881.5806639714,6761.45554858188,12221.8640084516,7405.72634098253,10782.431120117
"10",77.0796567175768,77.0793856339419,77.0801203796643,83.74800000002,82.35299999998,87.07200000002,17,7,5,5,14790.3238605194,15701.507261035,15457.231371254,15281.6663447824,13843.3694012187,14294.3449818004,14682.4437251004,4473.89110079175,45608.5091102648,3543.55080954383,42510.4618523792,2414.07754787552,33104.9877717706,759.215114247336,25569.6498683115,2037.61174197771,38318.4120314834,3571.58594022943,35606.6185952068,2223.90574958761,34041.5873009009,3958.45650739881,47254.0992784954,1820.53295640012,35979.4737400716,1483.16139261213,33610.0746535848
