query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
408.2364497,HMDB0014633,Buspirone,C06861,C21H31N5O2,385.247775261,M+Na,+,408.236993,1
408.2364497,HMDB0030844,"6,7-Dimethoxy-7-epirosmanol",n/a,C22H30O6,390.204238692,M+NH4,+,408.238062,4
408.2364497,HMDB0031933,"11,12-Dihydroxy-7,14-dimethoxy-8,11,13-abietatrien-20,6-olide",n/a,C22H30O6,390.204238692,M+NH4,+,408.238062,4
408.2364497,HMDB0035922,Nigakihemiacetal B,C08771,C22H30O6,390.204238692,M+NH4,+,408.238062,4
408.2364497,HMDB0035206,Bakkenolide B,n/a,C22H30O6,390.204238692,M+NH4,+,408.238062,4
408.2364497,HMDB0240335,"(1S,2S,5S,7S,10R,11S,14S,15S)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,14-diol sulfate",n/a,C19H32O6S,388.193057084,M+NH4,+,408.241432,12
408.2364497,HMDB0240334,"(1S,2S,5S,7S,10R,11S,14R,15S)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,14-diol sulfate",n/a,C19H32O6S,388.193057084,M+NH4,+,408.241432,12
408.2364497,HMDB0173904,"{[(12Z)-1-methoxy-1-oxooctadeca-10,12-dien-9-yl]oxy}sulfonic acid",n/a,C19H34O6S,390.207609989,M+NH4,+,408.241433,12
408.2364497,HMDB0173896,"{[(9E,12Z)-1-methoxy-1-oxooctadeca-9,12-dien-8-yl]oxy}sulfonic acid",n/a,C19H34O6S,390.207609989,M+NH4,+,408.241433,12
408.2364497,HMDB0173898,"{[(6Z,9E)-18-methoxy-18-oxooctadeca-6,9-dien-5-yl]oxy}sulfonic acid",n/a,C19H34O6S,390.207609989,M+NH4,+,408.241433,12
