query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
128.0516644,HMDB0029726,2-Vinylthiophene,n/a,C6H6S,110.019020882,M+NH4,+,128.052844,9
128.0516644,HMDB0033746,Benzenethiol,n/a,C6H6S,110.019020882,M+NH4,+,128.052844,9
128.0516644,HMDB0029730,2-Ethyl-4-methylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0040062,4-Ethyl-5-methylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0040096,5-Ethyl-2-methylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0033155,Trimethylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0031337,Thiiranebutanenitrile,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0029731,4-Ethyl-2-methylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0029732,5-Ethyl-4-methylthiazole,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0034300,5-Isothiocyanato-1-pentene,n/a,C6H9NS,127.045569983,M+H,+,128.052846,9
128.0516644,HMDB0172134,isoquinolin-7-ol,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0172135,Isoquinolin-6-ol,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0172136,Isoquinolin-8-ol,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0165771,6-Hydroxyquinoline,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0165773,5-HYDROXYQUINOLINE,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0165770,7-HYDROXYQUINOLINE,n/a,C9H7NO,145.052763849,M+H-H2O,+,128.050064,12
128.0516644,HMDB0165772,Oxyquinoline,C19434,C9H7NO,145.052763851,M+H-H2O,+,128.050064,12
128.0516644,HMDB0240308,2-Hydroxyquinoline,C06415,C9H7NO,145.052763851,M+H-H2O,+,128.050064,12
128.0516644,HMDB0029737,1H-Indole-3-carboxaldehyde,C08493,C9H7NO,145.052763851,M+H-H2O,+,128.050064,12
128.0516644,HMDB0181148,"1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethan-1-ol",n/a,C6H11NOS,145.056135152,M+H-H2O,+,128.053435,14
231.0767719,HMDB0060537,p-Hydroxyphenobarbital,n/a,C12H12N2O4,248.079706882,M+H-H2O,+,231.077007,1
231.0767719,HMDB0060826,Hydroxynalidixic acid,n/a,C12H12N2O4,248.079706882,M+H-H2O,+,231.077007,1
231.0767719,HMDB0004185,5-Hydroxyindoleacetylglycine,C05832,C12H12N2O4,248.079706882,M+H-H2O,+,231.077007,1
231.0767719,HMDB0003066,Chalcone,C15589,C15H12O,208.088815006,M+Na,+,231.078033,5
231.0767719,HMDB0135598,"1,3-diphenylprop-2-en-1-one",n/a,C15H12O,208.088815006,M+Na,+,231.078033,5
231.0767719,HMDB0060323,1-Methoxyphenanthrene,C11433,C15H12O,208.088815006,M+Na,+,231.078033,5
231.0767719,HMDB0032357,N-Lactoyl ethanolamine phosphate,n/a,C5H12NO6P,213.040223633,M+NH4,+,231.074047,12
231.0767719,HMDB0155289,"[(2,3-dihydroxypropyl)(2-oxoethyl)amino]phosphonic acid",n/a,C5H12NO6P,213.040224108,M+NH4,+,231.074047,12
231.0767719,HMDB0060757,4-Aminobenzoyl-(beta)-alanine,n/a,C10H12N2O3,208.08479226,M+Na,+,231.07401,12
231.0767719,HMDB0000684,L-Kynurenine,C00328,C10H12N2O3,208.08479226,M+Na,+,231.07401,12
231.0767719,HMDB0012948,Formyl-5-hydroxykynurenamine,C05647,C10H12N2O3,208.08479226,M+Na,+,231.07401,12
231.0767719,HMDB0014350,Pyrimethamine,C07391,C12H13ClN4,248.082874143,M+H-H2O,+,231.080174,15
231.0767719,HMDB0060321,1-Hydroxy-6-methoxypyrene,C18261,C17H12O2,248.083729628,M+H-H2O,+,231.08103,18
431.3150573,HMDB0062613,(25R)-3beta-hydroxycholest-5-en-7-one-26-oic acid,n/a,C27H42O4,430.308309832,M+H,+,431.315586,1
431.3150573,HMDB0012458,7alpha-Hydroxy-3-oxo-4-cholestenoate,C17337,C27H42O4,430.308309832,M+H,+,431.315586,1
431.3150573,HMDB0060128,"24-Oxo-1alpha,25-dihydroxyvitamin D3",n/a,C27H42O4,430.308309832,M+H,+,431.315586,1
431.3150573,HMDB0060127,"25-Hydroxyvitamin D3-26,23-lactol",n/a,C27H42O4,430.308309832,M+H,+,431.315586,1
431.3150573,HMDB0030066,Dimoracin,n/a,C27H42O4,430.308309832,M+H,+,431.315586,1
