query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
78.99441086,HMDB0013860,Chloroacetaldehyde,C06754,C2H3ClO,77.987242425,M+H,+,78.994518,1
78.99441086,HMDB0240714,Methylphosphonate,C20396,CH5O3P,95.997630538,M+H-H2O,+,78.994931,7
91.01448728,HMDB0006853,3-Butyn-1-al,C06145,C4H4O,68.02621475,M+Na,+,91.015433,10
91.01448728,HMDB0013785,Furan,C14275,C4H4O,68.02621475,M+Na,+,91.015433,10
96.98938824,HMDB0000119,Glyoxylic acid,C00048,C2H2O3,74.00039393,M+Na,+,96.989612,2
96.98938824,HMDB0014118,Trifluoroacetic acid,n/a,C2HF3O2,113.992863891,M+H-H2O,+,96.990164,8
111.0099234,HMDB0062205,6-chloropyridin-3-amine,n/a,C5H5ClN2,128.0141259,M+H-H2O,+,111.011426,14
111.0099234,HMDB0062257,6-chloropyridin-3-amine,n/a,C5H5ClN2,128.0141259,M+H-H2O,+,111.011426,14
111.0099234,HMDB0062405,6-chloropyridin-3-amine,n/a,C5H5ClN2,128.0141259,M+H-H2O,+,111.011426,14
111.0099234,HMDB0059784,5-Hydroxy-2-furoic acid,n/a,C5H4O4,128.010958616,M+H-H2O,+,111.008259,15
118.0862774,HMDB0061966,1-nitropentane,n/a,C5H11NO2,117.078978598,M+H,+,118.086255,0
118.0862774,HMDB0062141,"N,N-Dimethyl-L-Alanine",n/a,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0013716,Norvaline,C01799,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0003355,5-Aminopentanoic acid,C00431,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0001382,Vaporole,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0002141,N-Methyl-a-aminoisobutyric acid,n/a,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0015550,Amyl Nitrite,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0000883,L-Valine,C00183,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862774,HMDB0029599,Glutaral,C12518,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0000509,Senecioic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0001470,Tiglic acid,C08279,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0001862,2-Ethylacrylic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0002167,3-Methylbutyrolactone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0031648,"2,4-Pentanedione",C15499,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0033840,Dihydro-5-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0031178,2-Methyltetrahydrofuran-3-one,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0031602,4-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0031598,"2,3-Pentanedione",n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0033978,Ethyl acrylate,C19238,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0032385,Methyl methacrylate,C19504,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0029608,Angelic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0032351,Isopropenyl acetate,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0035143,Dihydro-3-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862774,HMDB0032459,2-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
