query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
76.04010195,HMDB0000123,Glycine,C00037,C2H5NO2,75.032028409,M+H,+,76.039304,10
76.04010195,HMDB0014691,Acetohydroxamic Acid,C06808,C2H5NO2,75.032028409,M+H,+,76.039304,10
76.04010195,HMDB0031239,Ethyl nitrite,n/a,C2H5NO2,75.032028409,M+H,+,76.039304,10
76.04010195,HMDB0161401,glycinate,n/a,C2H4NO2,74.024751953,M+H,+,76.039304,10
76.07656752,HMDB0000925,Trimethylamine N-oxide,C01104,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0142449,N-monomethylethanolamine,n/a,C3H9NO,75.068413914,M+H,+,76.07569,12
76.07656752,HMDB0140038,3-aminopropan-1-ol,n/a,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0012136,1-Amino-propan-2-ol,C05771,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0062143,oxetane,n/a,C3H6O,58.041864813,M+NH4,+,76.075688,12
76.07656752,HMDB0031558,Methyloxirane,C15508,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0031652,Allyl alcohol,C02001,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0003366,Propanal,C00479,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0001659,Acetone,C00207,C3H6O,58.041864814,M+NH4,+,76.075688,12
98.09660487,HMDB0144632,diethylamino-acetaldehyde,n/a,C6H13NO,115.099714043,M+H-H2O,+,98.097014,4
98.09660487,HMDB0062140,(1-methylpyrrolidin-2-yl)methanol,n/a,C6H13NO,115.099714043,M+H-H2O,+,98.097014,4
98.09660487,HMDB0034203,N-(2-Methylpropyl)acetamide,n/a,C6H13NO,115.099714043,M+H-H2O,+,98.097014,4
98.09660487,HMDB0031651,N-(3-Methylbutyl)acetamide,n/a,C6H13NO,115.099714043,M+H-H2O,+,98.097014,4
98.09660487,HMDB0062041,"3,3-Dimethylbutanamide",n/a,C6H13NO,115.099714043,M+H-H2O,+,98.097014,4
98.09660487,HMDB0012296,Trimethylaminoacetone,n/a,C6H14NO,116.107539075,M+H-H2O,+,98.097563,10
100.1122835,HMDB0031404,Cyclohexylamine,C00571,C6H13N,99.104799421,M+H,+,100.112075,2
100.1122835,HMDB0032416,2-Methylpiperidine,n/a,C6H13N,99.104799421,M+H,+,100.112075,2
100.1122835,HMDB0031544,3-Methylcyclopentene,n/a,C6H10,82.07825032,M+NH4,+,100.112073,2
100.1122835,HMDB0062716,Cyclohexylammonium,n/a,C6H14N,100.112624453,M+H,+,100.112624,3
100.1122835,HMDB0033971,2-Diethylaminoethanol,n/a,C6H15NO,117.115364107,M+H-H2O,+,100.112664,4
105.0558139,HMDB0002994,Erythritol,C00503,C4H10O4,122.057908808,M+H-H2O,+,105.055209,6
105.0558139,HMDB0004136,D-Threitol,C16884,C4H10O4,122.057908808,M+H-H2O,+,105.055209,6
105.0558139,HMDB0094689,D-Threitol,C16884,C4H10O4,122.057908808,M+H-H2O,+,105.055209,6
105.0558139,HMDB0165469,"3,4-dihydroxy-2-butanone",n/a,C4H8O3,104.047344118,M+H,+,105.05462,11
105.0558139,HMDB0165470,"2-Butanone, 1,3-dihydroxy-",n/a,C4H8O3,104.047344118,M+H,+,105.05462,11
105.0558139,HMDB0062640,3-Hydroxyisobutyric acid,C01188,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0126088,3-Hydroxyisobutyric acid,C01188,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000710,4-Hydroxybutyric acid,C01991,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000442,(S)-3-Hydroxybutyric acid,C03197,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000357,3-Hydroxybutyric acid,C01089,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000336,(R)-3-Hydroxyisobutyric acid,n/a,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000011,(R)-3-Hydroxybutyric acid,C01089,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000023,(S)-3-Hydroxyisobutyric acid,C06001,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000729,alpha-Hydroxyisobutyric acid,n/a,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0031212,Ethoxyacetic acid,n/a,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0059748,2-Methyl-3-hydroxypropanoate,n/a,C4H8O3,104.047344122,M+H,+,105.05462,11
105.0558139,HMDB0000008,(S)-2-hydroxybutyric acid,C05984,C4H8O3,104.047344118,M+H,+,105.05462,11
105.0558139,HMDB0015507,gamma-Hydroxybutyric acid,n/a,C4H7O3,103.03951909,M+H,+,105.054071,17
112.0505754,HMDB0000630,Cytosine,C00380,C4H5N3O,111.043261797,M+H,+,112.050538,0
112.0505754,HMDB0031335,2-Chloro-1-propanol,n/a,C3H7ClO,94.018542553,M+NH4,+,112.052366,16
112.050863,HMDB0000630,Cytosine,C00380,C4H5N3O,111.043261797,M+H,+,112.050538,3
112.050863,HMDB0031335,2-Chloro-1-propanol,n/a,C3H7ClO,94.018542553,M+NH4,+,112.052366,13
118.0864025,HMDB0061966,1-nitropentane,n/a,C5H11NO2,117.078978598,M+H,+,118.086255,1
118.0864025,HMDB0062141,"N,N-Dimethyl-L-Alanine",n/a,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0013716,Norvaline,C01799,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0003355,5-Aminopentanoic acid,C00431,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0001382,Vaporole,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0002141,N-Methyl-a-aminoisobutyric acid,n/a,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0015550,Amyl Nitrite,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0000883,L-Valine,C00183,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0029599,Glutaral,C12518,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0000509,Senecioic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0001470,Tiglic acid,C08279,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0001862,2-Ethylacrylic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0002167,3-Methylbutyrolactone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031648,"2,4-Pentanedione",C15499,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0033840,Dihydro-5-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031178,2-Methyltetrahydrofuran-3-one,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031602,4-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031598,"2,3-Pentanedione",n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
