query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
189.0784572,HMDB0038791,"2,4,6-Triethyl-1,3,5-oxadithiane",n/a,C9H18OS2,206.0799066,M+H-H2O,+,189.077207,7
189.0784572,HMDB0033584,Diethyl tartrate,n/a,C8H14O6,206.0790382,M+H-H2O,+,189.076338,11
189.0784572,HMDB0059767,"Tetrahydro-2,5-furan-diacetic acid",n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.0784572,HMDB0157322,SCHEMBL4732887,n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.0784572,HMDB0157321,(2E)-6-hydroxyoct-2-enedioic acid,n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.0784572,HMDB0157320,(2E)-5-hydroxyoct-2-enedioic acid,n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.0784572,HMDB0157323,3-(4-carboxybutyl)oxirane-2-carboxylic acid,n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.0784572,HMDB0157324,(2E)-7-hydroxyoct-2-enedioic acid,n/a,C8H12O5,188.0684735,M+H,+,189.075749,14
189.1353879,HMDB0029416,L-Targinine,C03884,C7H16N4O2,188.1273258,M+H,+,189.134602,4
189.1353879,HMDB0000670,Homo-L-arginine,C01924,C7H16N4O2,188.1273258,M+H,+,189.134602,4
189.1353879,HMDB0015454,Rasagiline,n/a,C12H13N,171.1047994,M+NH4,+,189.138622,17
189.1353879,HMDB0032926,Polycartine B,n/a,C12H16N2,188.1313485,M+H,+,189.138625,17
189.1353879,HMDB0005973,Dimethyltryptamine,C08302,C12H16N2,188.1313485,M+H,+,189.138625,17
189.1353879,HMDB0033961,"2-(3-Methylbutyl)-1H-pyrrolo[2,3-b]pyridine",n/a,C12H16N2,188.1313485,M+H,+,189.138625,17
229.1537123,HMDB0014861,Methoxamine,C07513,C11H17NO3,211.1208434,M+NH4,+,229.154666,4
229.1537123,HMDB0167331,AKOS023578554,n/a,C11H17NO3,211.1208434,M+NH4,+,229.154666,4
229.1537123,HMDB0014954,Orciprenaline,C07144,C11H17NO3,211.1208434,M+NH4,+,229.154666,4
229.1537123,HMDB0015197,Isoproterenol,C07056,C11H17NO3,211.1208434,M+NH4,+,229.154666,4
229.1537123,HMDB0011175,Leucylproline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0028937,Leucylproline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0011174,Isoleucylproline,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0172369,Pro-leu,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0028915,L-isoleucyl-L-proline ,n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0240365,"N,​N,​N-​Trimethyl-​L-​alanyl-​L-​proline betaine",n/a,C11H20N2O3,228.1473925,M+H,+,229.154669,4
229.1537123,HMDB0013816,"2,4-di-tert-Butylphenol",n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0013825,"4-(1,1,3,3-Tetramethylbutyl)-phenol",C14205,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0032528,"4-(1,1,3,3-Tetramethylbutyl)-phenol",C14205,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0032397,Methyl-delta-ionone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0061831,(Z)-alpha-Irone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0031738,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0038130,"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-1-penten-3-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0031737,delta-Methylionone,n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0035245,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1-penten-3-one",n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0036024,"10-Isopropyl-2,7-dimethyl-1-oxaspiro[4.5]deca-3,6-diene",n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0036023,Etaspirene,n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0133179,2-benzylheptan-1-ol,n/a,C14H22O,206.1670653,M+Na,+,229.156283,11
229.1537123,HMDB0035631,alpha-Irone,C09690,C14H22O,206.1670653,M+Na,+,229.156283,11
231.0767719,HMDB0060537,p-Hydroxyphenobarbital,n/a,C12H12N2O4,248.0797069,M+H-H2O,+,231.077007,1
231.0767719,HMDB0060826,Hydroxynalidixic acid,n/a,C12H12N2O4,248.0797069,M+H-H2O,+,231.077007,1
231.0767719,HMDB0004185,5-Hydroxyindoleacetylglycine,C05832,C12H12N2O4,248.0797069,M+H-H2O,+,231.077007,1
231.0767719,HMDB0003066,Chalcone,C15589,C15H12O,208.088815,M+Na,+,231.078033,5
231.0767719,HMDB0135598,"1,3-diphenylprop-2-en-1-one",n/a,C15H12O,208.088815,M+Na,+,231.078033,5
231.0767719,HMDB0060323,1-Methoxyphenanthrene,C11433,C15H12O,208.088815,M+Na,+,231.078033,5
231.0767719,HMDB0032357,N-Lactoyl ethanolamine phosphate,n/a,C5H12NO6P,213.0402236,M+NH4,+,231.074047,12
231.0767719,HMDB0155289,"[(2,3-dihydroxypropyl)(2-oxoethyl)amino]phosphonic acid",n/a,C5H12NO6P,213.0402241,M+NH4,+,231.074047,12
231.0767719,HMDB0060757,4-Aminobenzoyl-(beta)-alanine,n/a,C10H12N2O3,208.0847923,M+Na,+,231.07401,12
231.0767719,HMDB0000684,L-Kynurenine,C00328,C10H12N2O3,208.0847923,M+Na,+,231.07401,12
231.0767719,HMDB0012948,Formyl-5-hydroxykynurenamine,C05647,C10H12N2O3,208.0847923,M+Na,+,231.07401,12
231.0767719,HMDB0014350,Pyrimethamine,C07391,C12H13ClN4,248.0828741,M+H-H2O,+,231.080174,15
231.0767719,HMDB0060321,1-Hydroxy-6-methoxypyrene,C18261,C17H12O2,248.0837296,M+H-H2O,+,231.08103,18
446.2907,HMDB0155347,"2-({4-[(1S,2S,10R,11S,15R)-9,16-dihydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]-1-hydroxypentylidene}amino)acetic acid",n/a,C26H41NO6,463.293388,M+H-H2O,+,446.290688,0
446.2907,HMDB0155348,"2-({4-[(1S,2S,11S,15R)-5,16-dihydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]-1-hydroxypentylidene}amino)acetic acid",n/a,C26H41NO6,463.293388,M+H-H2O,+,446.290688,0
446.2907,HMDB0034064,"2-Angeloyl-9-(3-methyl-2E-pentenoyl)-2b,9a-dihydroxy-4Z,10(14)-oplopadien-3-one",n/a,C26H36O5,428.2562743,M+NH4,+,446.290097,1
446.2907,HMDB0012936,Dynorphin B (10-13),n/a,C20H39N5O6,445.290034,M+H,+,446.29731,15
91.05458888,HMDB0001858,p-Cresol,C01468,C7H8O,108.0575149,M+H-H2O,+,91.054815,2
91.05458888,HMDB0033895,Anisole,C01403,C7H8O,108.0575149,M+H-H2O,+,91.054815,2
91.05458888,HMDB0003119,Benzyl alcohol,C03485,C7H8O,108.0575149,M+H-H2O,+,91.054815,2
91.05458888,HMDB0002055,o-Cresol,C01542,C7H8O,108.0575149,M+H-H2O,+,91.054815,2
91.05458888,HMDB0002048,m-Cresol,C01467,C7H8O,108.0575149,M+H-H2O,+,91.054815,2
115.0753056,HMDB0163353,3-(3-methyloxiran-2-yl)propanal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163351,(4Z)-6-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163350,(Z)-hex-4-enoic acid,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163354,(4Z)-2-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163352,(4Z)-3-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163702,"Pentanal, 3-methyl-4-oxo-",n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179351,4-Hexenoic acid,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179346,(2Z)-3-(3-methyloxiran-2-yl)prop-2-en-1-ol,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179345,{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}methanol,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179344,"cis-2,4-hexadien-1,6-diol",n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179343,(4E)-2-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179342,(4E)-3-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0179341,(4E)-6-hydroxyhex-4-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0169695,(Z)-3-methyl-2-pentenoic acid,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0169664,(E)-3-Methyl-2-pentenoic acid,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0165583,2-Methyl-3-ethyloxirane-2-carbaldehyde,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0165582,(2Z)-4-hydroxy-2-methylpent-2-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0165581,(2Z)-2-(hydroxymethyl)pent-2-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0165584,(2Z)-5-hydroxy-2-methylpent-2-enal,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
115.0753056,HMDB0163703,(3Z)-5-hydroxy-3-methylpent-3-en-2-one,n/a,C6H10O2,114.0680796,M+H,+,115.075356,0
