"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0038791","NA","NA","NA","NA","NA","0"
"HMDB0033584","Diethyl tartrate","HMDB0033584","62333",NA,"CCOC(=O)C(C(C(=O)OCC)O)O","1"
"HMDB0059767","NA","NA","NA","NA","NA","0"
"HMDB0157322","NA","NA","NA","NA","NA","0"
"HMDB0157321","NA","NA","NA","NA","NA","0"
"HMDB0157320","NA","NA","NA","NA","NA","0"
"HMDB0157323","NA","NA","NA","NA","NA","0"
"HMDB0157324","NA","NA","NA","NA","NA","0"
"HMDB0029416","L-Targinine","HMDB0029416","132862","C03884","CN=C(N)NCCC[C@@H](C(=O)O)N","1"
"HMDB0000670","Homo-L-arginine","HMDB0000670","9085","C01924","C(CCN=C(N)N)C[C@@H](C(=O)O)N","1"
"HMDB0015454","Rasagiline","HMDB0015454","3052776",NA,"C#CCN[C@@H]1CCC2=CC=CC=C12","1"
"HMDB0032926","Polycartine B","HMDB0032926","77623",NA,"C1CCC2=C(C1)N=C3CCCCC3=N2","1"
"HMDB0005973","Dimethyltryptamine","HMDB0005973","6089","C08302","CN(C)CCC1=CNC2=CC=CC=C21","1"
"HMDB0033961","2-(3-Methylbutyl)-1H-pyrrolo[2,3-b]pyridine","HMDB0033961","55272645",NA,"CC(C)CCC1=CC2=C(N1)N=CC=C2","1"
"HMDB0014861","Methoxamine","HMDB0014861","6082","C07513","CC(C(C1=C(C=CC(=C1)OC)OC)O)N","1"
"HMDB0167331","NA","NA","NA","NA","NA","0"
"HMDB0014954","Orciprenaline","HMDB0014954","4086","C07144","CC(C)NCC(C1=CC(=CC(=C1)O)O)O","1"
"HMDB0015197","Isoproterenol","HMDB0015197","3779","C07056","CC(C)NCC(C1=CC(=C(C=C1)O)O)O","1"
"HMDB0011175","Leucylproline","HMDB0011175","44369311",NA,"CC(C)CC(C(=O)N1CCCC1C(=O)[O-])[NH3+]","1"
"HMDB0028937","NA","NA","NA","NA","NA","0"
"HMDB0011174","Isoleucylproline","HMDB0011174","342734",NA,"CCC(C)C(C(=O)N1CCCC1C(=O)O)N","1"
