"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0029726","2-Vinylthiophene","HMDB0029726","519642",NA,"C=CC1=CC=CS1","1"
"HMDB0033746","Benzenethiol","HMDB0033746","7969",NA,"C1=CC=C(C=C1)S","1"
"HMDB0029730","2-Ethyl-4-methylthiazole","HMDB0029730","27440",NA,"CCC1=NC(=CS1)C","1"
"HMDB0040062","NA","NA","NA","NA","NA","0"
"HMDB0040096","NA","NA","NA","NA","NA","0"
"HMDB0033155","Trimethylthiazole","HMDB0033155","61653",NA,"CC1=C(SC(=N1)C)C","1"
"HMDB0031337","Thiiranebutanenitrile","HMDB0031337","148822",NA,"C1C(S1)CCCC#N","1"
"HMDB0029731","4-Ethyl-2-methylthiazole","HMDB0029731","520568",NA,"CCC1=CSC(=N1)C","1"
"HMDB0029732","5-Ethyl-4-methylthiazole","HMDB0029732","40380",NA,"CCC1=C(N=CS1)C","1"
"HMDB0034300","5-Isothiocyanato-1-pentene","HMDB0034300","87436",NA,"C=CCCCN=C=S","1"
"HMDB0172134","NA","NA","NA","NA","NA","0"
"HMDB0172135","NA","NA","NA","NA","NA","0"
"HMDB0172136","NA","NA","NA","NA","NA","0"
"HMDB0165771","NA","NA","NA","NA","NA","0"
"HMDB0165773","NA","NA","NA","NA","NA","0"
"HMDB0165770","NA","NA","NA","NA","NA","0"
"HMDB0165772","NA","NA","NA","NA","NA","0"
"HMDB0240308","NA","NA","NA","NA","NA","0"
"HMDB0029737","1H-Indole-3-carboxaldehyde","HMDB0029737","10256","C08493","C1=CC=C2C(=C1)C(=CN2)C=O","1"
"HMDB0181148","NA","NA","NA","NA","NA","0"
"HMDB0060537","NA","NA","NA","NA","NA","0"
"HMDB0060826","NA","NA","NA","NA","NA","0"
"HMDB0004185","5-Hydroxyindoleacetylglycine","HMDB0004185","440806","C05832","C1=CC2=C(C=C1O)C(=CN2)CC(=O)NCC(=O)O","1"
"HMDB0003066","Chalcone","HMDB0003066","637760","C15589","C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2","1"
"HMDB0135598","NA","NA","NA","NA","NA","0"
"HMDB0060323","NA","NA","NA","NA","NA","0"
"HMDB0032357","N-Lactoyl ethanolamine phosphate","HMDB0032357","11550267",NA,"CC(C(=O)NCCOP(=O)(O)O)O","1"
"HMDB0155289","NA","NA","NA","NA","NA","0"
"HMDB0060757","NA","NA","NA","NA","NA","0"
"HMDB0000684","L-Kynurenine","HMDB0000684","161166","C00328","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"HMDB0012948","Formyl-5-hydroxykynurenamine","HMDB0012948","440743","C05647","C1=CC(=C(C=C1O)C(=O)CCN)NC=O","1"
"HMDB0014350","Pyrimethamine","HMDB0014350","4993","C07391","CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl","1"
"HMDB0060321","NA","NA","NA","NA","NA","0"
"HMDB0062613","NA","NA","NA","NA","NA","0"
"HMDB0012458","7alpha-Hydroxy-3-oxo-4-cholestenoate","HMDB0012458","3081085","C17337","C[C@H](CCCC(C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C","1"
"HMDB0060128","NA","NA","NA","NA","NA","0"
"HMDB0060127","NA","NA","NA","NA","NA","0"
"HMDB0030066","Australigenin","HMDB0030066","4483037",NA,"CC1C2C(CC3C2(CCC4C3CCC5C4(C(CC(C5)O)O)C)C)OC16CCC(=C)CO6","1"
"HMDB0036249","NA","NA","NA","NA","NA","0"
"HMDB0034403","Barogenin","HMDB0034403","101688",NA,"CC(CCC(=O)C(C)C1C(=O)CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO","1"
"HMDB0011590","MG(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0/0:0)","HMDB0011590","53480998",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](CO)O","1"
"HMDB0166149","NA","NA","NA","NA","NA","0"
"HMDB0174217","NA","NA","NA","NA","NA","0"
"HMDB0157634","NA","NA","NA","NA","NA","0"
"HMDB0157631","NA","NA","NA","NA","NA","0"
"HMDB0157632","NA","NA","NA","NA","NA","0"
"HMDB0157633","NA","NA","NA","NA","NA","0"
"HMDB0157635","NA","NA","NA","NA","NA","0"
"HMDB0157638","NA","NA","NA","NA","NA","0"
"HMDB0164013","NA","NA","NA","NA","NA","0"
"HMDB0160505","NA","NA","NA","NA","NA","0"
"HMDB0160504","NA","NA","NA","NA","NA","0"
"HMDB0157644","NA","NA","NA","NA","NA","0"
"HMDB0157646","NA","NA","NA","NA","NA","0"
"HMDB0157643","NA","NA","NA","NA","NA","0"
"HMDB0157645","NA","NA","NA","NA","NA","0"
"HMDB0157640","NA","NA","NA","NA","NA","0"
"HMDB0157641","NA","NA","NA","NA","NA","0"
"HMDB0157639","NA","NA","NA","NA","NA","0"
"HMDB0157642","NA","NA","NA","NA","NA","0"
"HMDB0157637","NA","NA","NA","NA","NA","0"
"HMDB0157636","NA","NA","NA","NA","NA","0"
"HMDB0034293","Asperagenin","HMDB0034293","71435521",NA,"CC1C2C(CC3C4CC(O)C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)(O)CO1","1"
"HMDB0032783","Porrigenin A","HMDB0032783","12312669",NA,"CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC(C6C5(CC(C(C6)O)O)C)O)C)C)OC1","1"
"HMDB0157653","NA","NA","NA","NA","NA","0"
"HMDB0157650","NA","NA","NA","NA","NA","0"
"HMDB0157649","NA","NA","NA","NA","NA","0"
"HMDB0157652","NA","NA","NA","NA","NA","0"
"HMDB0157654","NA","NA","NA","NA","NA","0"
"HMDB0157651","NA","NA","NA","NA","NA","0"
"HMDB0157648","NA","NA","NA","NA","NA","0"
