"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Linoleic acid metabolism",5,0.22258,2,0.017904,1.747,1,1,0
"alpha-Linolenic acid metabolism",13,0.57871,2,0.11106,0.95444,1,1,0.33333
"Biosynthesis of unsaturated fatty acids",36,1.6026,3,0.2135,0.6706,1,1,0
"Pyrimidine metabolism",39,1.7361,3,0.24959,0.60277,1,1,0.02769
"Lysine degradation",25,1.1129,2,0.30679,0.51316,1,1,0.00469
"Fatty acid biosynthesis",47,2.0923,3,0.34899,0.45718,1,1,0.01473
"Fatty acid degradation",39,1.7361,2,0.52579,0.27919,1,1,0
"Primary bile acid biosynthesis",46,2.0477,2,0.61715,0.20961,1,1,0.00758
"Glutathione metabolism",28,1.2465,1,0.72378,0.14039,1,1,0.08873
"Porphyrin and chlorophyll metabolism",30,1.3355,1,0.74826,0.12595,1,1,0
"Glyoxylate and dicarboxylate metabolism",32,1.4245,1,0.77061,0.11317,1,1,0.10582
"Glycine, serine and threonine metabolism",33,1.469,1,0.78103,0.10733,1,1,0.24577
"Glycerophospholipid metabolism",36,1.6026,1,0.80959,0.091734,1,1,0
"Fatty acid elongation",39,1.7361,1,0.83447,0.078588,1,1,0
"Aminoacyl-tRNA biosynthesis",48,2.1368,1,0.89144,0.049909,1,1,0
"Steroid hormone biosynthesis",85,3.7839,1,0.98135,0.0081741,1,1,6e-05
