"","total","expected","hits","Raw p","Holm p","FDR"
"Malate-Aspartate Shuttle",10,4.16,1,0.996,1,1
"D-Arginine and D-Ornithine Metabolism",11,4.58,1,0.997,1,1
"Ketone Body Metabolism",13,5.41,1,0.999,1,1
"Catecholamine Biosynthesis",20,8.32,1,1,1,1
"Vitamin B6 Metabolism",20,8.32,1,1,1,1
"Betaine Metabolism",21,8.74,1,1,1,1
"Carnitine Synthesis",22,9.15,1,1,1,1
"Transfer of Acetyl Groups into Mitochondria",22,9.15,1,1,1,1
"Steroidogenesis",43,17.9,5,1,1,1
"Fatty Acid Biosynthesis",35,14.6,3,1,1,1
"Oxidation of Branched Chain Fatty Acids",26,10.8,1,1,1,1
"Phytanic Acid Peroxisomal Oxidation",26,10.8,1,1,1,1
"Plasmalogen Synthesis",26,10.8,1,1,1,1
"Phospholipid Biosynthesis",29,12.1,1,1,1,1
"Starch and Sucrose Metabolism",31,12.9,1,1,1,1
"Citric Acid Cycle",32,13.3,1,1,1,1
"Androgen and Estrogen Metabolism",33,13.7,1,1,1,1
"Fatty Acid Elongation In Mitochondria",35,14.6,1,1,1,1
"Gluconeogenesis",35,14.6,1,1,1,1
"Bile Acid Biosynthesis",65,27,7,1,1,1
"Nicotinate and Nicotinamide Metabolism",37,15.4,1,1,1,1
"Porphyrin Metabolism",40,16.6,1,1,1,1
"Propanoate Metabolism",42,17.5,1,1,1,1
"Methionine Metabolism",43,17.9,1,1,1,1
"Arginine and Proline Metabolism",53,22,2,1,1,1
"Glycine and Serine Metabolism",59,24.5,3,1,1,1
"Pyrimidine Metabolism",59,24.5,3,1,1,1
"Valine, Leucine and Isoleucine Degradation",60,25,3,1,1,1
"Tryptophan Metabolism",60,25,3,1,1,1
"Pyruvate Metabolism",48,20,1,1,1,1
"Glutamate Metabolism",49,20.4,1,1,1,1
"Purine Metabolism",74,30.8,4,1,1,1
"Warburg Effect",58,24.1,1,1,1,1
"Tyrosine Metabolism",72,30,1,1,1,1
"Arachidonic Acid Metabolism",69,28.7,1,1,1,1
