"","total","expected","hits","Raw p","Holm p","FDR"
"Malate-Aspartate Shuttle",10,4.08,1,0.995,1,1
"Alpha Linolenic Acid and Linoleic Acid Metabolism",19,7.76,3,0.996,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",17,6.94,2,0.998,1,1
"Ketone Body Metabolism",13,5.31,1,0.999,1,1
"Glucose-Alanine Cycle",13,5.31,1,0.999,1,1
"Carnitine Synthesis",22,8.98,2,1,1,1
"Alanine Metabolism",17,6.94,1,1,1,1
"Citric Acid Cycle",32,13.1,4,1,1,1
"Catecholamine Biosynthesis",20,8.16,1,1,1,1
"Fatty Acid Biosynthesis",35,14.3,4,1,1,1
"Pantothenate and CoA Biosynthesis",21,8.57,1,1,1,1
"Transfer of Acetyl Groups into Mitochondria",22,8.98,1,1,1,1
"Estrone Metabolism",24,9.8,1,1,1,1
"Glycerolipid Metabolism",25,10.2,1,1,1,1
"Cysteine Metabolism",26,10.6,1,1,1,1
"Oxidation of Branched Chain Fatty Acids",26,10.6,1,1,1,1
"Phytanic Acid Peroxisomal Oxidation",26,10.6,1,1,1,1
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,11,1,1,1,1
"Phenylalanine and Tyrosine Metabolism",28,11.4,1,1,1,1
"Phospholipid Biosynthesis",29,11.8,1,1,1,1
"Urea Cycle",29,11.8,1,1,1,1
"Lysine Degradation",30,12.2,1,1,1,1
"Ammonia Recycling",32,13.1,1,1,1,1
"Fructose and Mannose Degradation",32,13.1,1,1,1,1
"Beta-Alanine Metabolism",34,13.9,1,1,1,1
"Fatty Acid Elongation In Mitochondria",35,14.3,1,1,1,1
"Aspartate Metabolism",35,14.3,1,1,1,1
"Gluconeogenesis",35,14.3,1,1,1,1
"Nicotinate and Nicotinamide Metabolism",37,15.1,1,1,1,1
"Retinol Metabolism",37,15.1,1,1,1,1
"Propanoate Metabolism",42,17.1,1,1,1,1
"Tryptophan Metabolism",60,24.5,4,1,1,1
"Fatty acid Metabolism",43,17.6,1,1,1,1
"Warburg Effect",58,23.7,3,1,1,1
"Steroid Biosynthesis",48,19.6,1,1,1,1
"Glutamate Metabolism",49,20,1,1,1,1
"Pyrimidine Metabolism",59,24.1,2,1,1,1
"Arginine and Proline Metabolism",53,21.6,1,1,1,1
"Valine, Leucine and Isoleucine Degradation",60,24.5,2,1,1,1
"Glycine and Serine Metabolism",59,24.1,1,1,1,1
"Tyrosine Metabolism",72,29.4,2,1,1,1
"Bile Acid Biosynthesis",65,26.5,1,1,1,1
"Purine Metabolism",74,30.2,1,1,1,1
"Arachidonic Acid Metabolism",69,28.2,1,1,1,1
