"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000925","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"HMDB0142449","NA","NA","NA","NA","NA","0"
"HMDB0140038","NA","NA","NA","NA","NA","0"
"HMDB0012136","1-Amino-propan-2-ol","HMDB0012136","4","C05771","CC(CN)O","1"
"HMDB0062143","NA","NA","NA","NA","NA","0"
"HMDB0031558","Methyloxirane","HMDB0031558","6378","C15508","CC1CO1","1"
"HMDB0031652","Allyl alcohol","HMDB0031652","7858","C02001","C=CCO","1"
"HMDB0003366","Propanal","HMDB0003366","527","C00479","CCC=O","1"
"HMDB0001659","Acetone","HMDB0001659","180","C00207","CC(=O)C","1"
"HMDB0013860","Chloroacetaldehyde","HMDB0013860","0","C06754","[H]C(=O)CCl","1"
"HMDB0240714","NA","NA","NA","NA","NA","0"
"HMDB0006853","3-Butyn-1-al","HMDB0006853","142966","C06145","C#CCC=O","1"
"HMDB0013785","Furan","HMDB0013785","5988","C14275","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O","1"
"HMDB0031404","Cyclohexylamine","HMDB0031404","7965","C00571","C1CCC(CC1)N","1"
"HMDB0032416","2-Methylpiperidine","HMDB0032416","7974",NA,"CC1CCCCN1","1"
"HMDB0031544","3-Methylcyclopentene","HMDB0031544","14263",NA,"CC1CCC=C1","1"
"HMDB0062716","NA","NA","NA","NA","NA","0"
"HMDB0033971","2-Diethylaminoethanol","HMDB0033971","7497",NA,"CCN(CC)CCO","1"
"HMDB0062205","NA","NA","NA","NA","NA","0"
"HMDB0062257","NA","NA","NA","NA","NA","0"
"HMDB0062405","NA","NA","NA","NA","NA","0"
"HMDB0059784","NA","NA","NA","NA","NA","0"
"HMDB0000630","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"HMDB0031335","2-Chloro-1-propanol","HMDB0031335","6566",NA,"CC(CO)Cl","1"
"HMDB0128943","NA","NA","NA","NA","NA","0"
"HMDB0132477","NA","NA","NA","NA","NA","0"
"HMDB0129097","NA","NA","NA","NA","NA","0"
"HMDB0168839","NA","NA","NA","NA","NA","0"
"HMDB0128916","NA","NA","NA","NA","NA","0"
"HMDB0012233","Glutarate semialdehyde","HMDB0012233","439963","C03273","C(CC=O)CC(=O)O","1"
"HMDB0029172","3-keto-2-Methylbutyrate","HMDB0029172","150996",NA,"CC(C(=O)C)C(=O)[O-]","1"
"HMDB0001865","2-Oxovaleric acid","HMDB0001865","74563","C06255","CCCC(=O)C(=O)O","1"
"HMDB0000310","Methylacetoacetic acid","HMDB0000310","7757",NA,"CC(=O)CC(=O)OC","1"
"HMDB0031643","Ethyl pyruvate","HMDB0031643","12041",NA,"CCOC(=O)C(O)=C","1"
"HMDB0000019","Alpha-ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(=O)O","1"
