"metaboliteID","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"7",76.0765675224023,76.0763143254906,76.077186771747,83.75100000002,82.35299999998,87.07200000002,27,7,10,10,475305.5249525,479669.304320343,485139.801770077,493245.708396028,462013.243981846,452548.633496517,471781.102109107,130900.930768188,1512602.67537737,106336.857011259,1432280.26947017,71824.3752691335,1125016.7250023,27531.5780817344,892818.875655157,64834.6995081699,1297354.12976739,112846.879326992,1156406.55562249,69436.5312599584,1109380.66583423,118293.235032123,1555235.13261135,57523.9742213085,1182120.32822099,48192.2163529551,1099798.55247057
"10",77.0796567175768,77.0793856339419,77.0801203796643,83.74800000002,82.35299999998,87.07200000002,17,7,5,5,14790.3238605194,15701.507261035,15457.231371254,15281.6663447824,13843.3694012187,14294.3449818004,14682.4437251004,4473.89110079175,45608.5091102648,3543.55080954383,42510.4618523792,2414.07754787552,33104.9877717706,759.215114247336,25569.6498683115,2037.61174197771,38318.4120314834,3571.58594022943,35606.6185952068,2223.90574958761,34041.5873009009,3958.45650739881,47254.0992784954,1820.53295640012,35979.4737400716,1483.16139261213,33610.0746535848
"11",77.9944957803747,77.9941782980889,77.9951723292076,62.56699999998,61.93000000002,64.417,27,7,10,10,46397.7582631054,42426.8107746317,45170.855504309,42832.1643127871,44195.7864726263,47543.3373083702,46645.4136917247,18333.2194179451,70329.2337368854,50988.130545207,71188.0192411525,30122.1930045023,41420.9050788402,22778.2286927241,62606.9540271522,26170.789233144,56423.3386974626,39567.0877778156,38977.3607276514,27330.2481649917,64013.9997052229,52170.7574740739,57021.7236783289,37961.5741450045,111723.300224406,25650.6232233082,50566.2496219625
"12",78.9944108592674,78.9938092399318,78.9951260408474,62.92349999999,62.49800000002,65.14400000002,8,0,3,5,7862.27066216611,6973.06917900778,7665.9048138239,6825.09088309812,7260.5437966629,7023.89962425649,6637.28606035331,3729.43762858427,10854.0716723982,7945.20312170136,10470.1596424272,6007.24456194383,6264.77510450757,4888.64062696298,9594.1137888861,5713.802923464,9034.75110651159,5831.70537220085,5906.42804673348,5484.44963799491,9383.90148747007,9146.49154035035,8235.25284121268,6455.7206931815,14913.0239700622,5740.35070792436,8240.23255990579
"63",91.0144872794446,91.0140636855258,91.0151060753693,62.564,61.273,64.417,27,7,10,10,36237.4182653759,33353.781806104,35797.8535741087,33412.2363673166,32988.6541328925,34554.9900734787,33659.9222791298,14648.8003259452,56044.6167589609,40499.6907664063,56108.210202029,22179.7712862466,29808.2988628581,17731.2866452788,47372.270079375,19350.9059045763,42620.1963121807,31367.9944919592,34339.725946875,21656.1364974199,48950.2142632875,44132.3701900215,44696.0657215577,29858.9809170044,87133.8066380441,20698.8466621226,38872.8600180176
"100",100.112283503751,100.112014914438,100.112825614428,415.88200000001,414.99000000002,416.167,26,7,9,10,475379.116847449,473388.21763001,469735.871578688,467825.787797138,501549.310858886,491393.247990723,490760.45486426,742983.441997953,303010.254896173,527318.110299317,260678.466133898,675430.956829216,320916.969936772,495079.351357234,180431.592605274,696780.775170472,391314.483419207,556157.915898772,272765.253703501,431957.26768053,257206.401765849,517803.2439064,272078.092570504,542784.967082127,334233.915262939,591965.15948515,266798.75243318
"107",101.115447155444,101.115084229682,101.115973090091,415.87,414.99000000002,416.127,25,7,9,9,32665.4671756897,33291.3763798022,32681.6286463033,33618.3857530024,35279.1846537252,34461.457713501,35068.9210834352,49315.0886858473,21885.3131453057,36682.5953151856,18167.996573505,44956.3381428083,22133.2962062002,33183.5216058584,13053.4159693656,47191.3800697555,26944.4005838283,38390.5649620528,19621.7908257054,30264.6186502932,18086.1749659846,34845.6144000232,19940.830204347,36946.7279079176,24037.4234707299,40091.3168710294,20633.0065889921
"137",110.008722170847,110.008440334442,110.00943341393,62.88999999998,61.93000000002,65.14400000002,27,7,10,10,175219.201479625,169110.257986259,171660.774289535,163975.763226013,166142.172478647,174715.902906878,173122.226778701,68451.6975941911,303818.36186648,202360.54182392,302756.809211042,110678.072719897,148411.138045774,79913.1234935249,250981.98696968,92345.3402689673,213291.954820495,152502.971178992,157901.832435276,108347.663796528,253779.285455414,215202.532439587,229533.691510775,145585.49614629,506245.404379049,96630.3584817952,191157.792781529
"141",111.009923363859,111.009530409916,111.010642740816,62.91299999998,61.93000000002,65.14400000002,27,7,10,10,28764.6409235937,27320.1315942794,26693.1937150418,26933.1926035761,27589.8495354868,27785.0701417194,28223.6509424581,11124.0814320475,51431.9011004482,33216.1453806472,47534.0405394919,18297.8660790762,23693.2266182556,13773.5123801604,41133.5314954299,14883.7832730786,35480.2086161152,24541.1574045077,26287.5135439093,16907.6548962333,42697.7340494046,36249.3337352991,37054.8032808913,24729.5018736892,79311.1016193407,14912.3992249437,30719.8478268806
"143",112.006665443959,112.006222842615,112.007216981151,62.91299999998,61.93000000002,65.14400000002,27,7,10,10,26097.3229422319,23514.0002311576,24047.0275222028,24029.9097141009,22588.2641318789,24490.3209530848,24629.473237922,10001.3732979581,41836.037315742,29033.4956938934,41918.2849221842,15150.8617298801,19529.5505142059,11473.1006493003,35028.7703648109,12562.7980025646,29771.0199513215,22008.4716519396,22863.6030391507,15620.504783251,35659.6212036984,30401.1672907055,32531.2946397985,20445.3797869189,70449.0558192581,12146.0254822978,28363.919855413
"145",112.050575355784,112.050312237827,112.051108049278,132.628,131.881,147.50899999998,27,7,10,10,57296.871515059,52148.3443794924,55788.0936447666,57110.9535117448,55854.4972494166,57438.6494801982,60858.2250266818,66003.7680554655,29564.4891181425,45340.1120004526,29455.0469771111,55076.6798937177,32696.4509602627,64482.4481586248,21097.3450696179,62020.2641715195,32378.1341704391,47910.1762919718,25593.7985057349,58053.7957508994,30304.0342997793,59853.3314308075,37238.7064653085,52669.5250645199,28622.8464667507,74293.2371098189,34388.2158628532
"157",114.987582338147,114.987256234511,114.988199894882,62.56699999998,61.273,64.417,27,7,10,10,66346.5608491387,61692.5427932453,61212.0515523674,58473.2707697357,58468.0221930898,60548.6658682288,60787.0201588765,26243.1335999481,101532.53832268,72379.3230912127,100360.519784037,41273.7478356734,52660.572352859,30184.7400699236,82032.9034602321,35625.311495163,75883.5072741737,56298.5121513755,58924.5980113036,40489.3311199278,87356.2454608538,77843.4904442875,81501.9608018796,53786.3643320963,155753.696547512,35431.6852599176,67355.6894387639
"375",134.080747479899,134.080271836655,134.081555909001,87.15050000002,85.667,87.885,26,7,9,10,28217.2032964905,27421.4092419966,25045.7555453501,26882.4603371992,25415.8558130281,25457.3736244479,27160.9408610018,36001.3374285195,25832.9431209754,35395.5123057257,23150.9179222742,28642.8744911696,20011.5234289328,30196.5463650054,7555.82266127741,32530.6961321766,23650.9323085981,30670.2067806727,24345.0658513017,27144.8257899191,20258.9363476104,33744.0764822113,20417.3538765566,27225.5487407218,22164.7955720964,32702.089819729,22270.23561527
