"metaboliteID","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"663",189.078457189519,189.078098530975,189.079102457323,932.74799999999,932.12100000002,933.41,10,0,4,6,5527.54632431623,5054.73751398828,5691.3380360802,6583.02287893882,5157.87331122346,4881.56754449592,5224.8967809286,2051.08162665591,11119.8973221923,2184.32082311958,13268.8051040164,1432.82101854415,11130.1504592448,3323.496844955,4507.51296930562,2551.36475998362,9133.14574824973,3230.22549193702,8478.54609421687,1792.89410856155,13767.1303246129,8778.86258486289,15072.0211165537,1684.44913466647,19595.2758978098,1853.08700654469,8676.13613554073
"666",189.135387878654,189.134407683321,189.136159698736,84.32150000001,83.01899999998,87.84899999998,14,4,5,5,7802.6488376593,6716.47971425692,6891.74430489677,7667.48502154364,7783.00939682612,6575.01720418471,7126.20764053343,5256.79546559449,11382.6766334619,4278.00218081827,13829.5737112378,1735.07276831919,11213.1428331965,842.535235567991,6589.13735391056,3892.55506121725,12188.9736136529,3758.21331209224,9593.87086442435,3195.48454433866,8825.90850868921,5069.99022360544,12009.2449966193,2007.44853046723,12329.667059864,4180.30707624922,9138.8057078095
"863",229.153712268593,229.152449785708,229.155676034869,134.74849999999,133.97499999998,165.23299999998,28,7,10,10,15803.6205990609,16991.6745709584,15514.7697093104,14149.0846939427,15743.9296070168,15533.0404723257,14960.4828205921,14312.1991444295,18080.59053853,12580.8705712801,25327.5433566488,10339.5454015859,20687.7085169576,18111.7226447504,19747.679722034,15848.1704505287,24684.6122836212,13095.0787375794,13787.965649872,10256.4560691687,17989.8670446418,28856.3841735137,25867.0789755026,13667.5798796641,16435.1216651142,11094.9069492853,13020.3466108656
"867",231.076771897541,231.075987866568,231.077159863448,856.80800000002,856.10400000002,857.603,15,5,4,6,8777.83126501471,7694.91272894017,7780.13855304141,8072.3967377767,8069.45068299518,7919.21227323982,7891.67129365367,2012.86606605697,18694.6132410312,6150.26663140247,32897.1919190489,2882.07084087176,10175.5758967956,4665.62032765162,3366.37268995527,6264.86140766554,27849.4077553409,4449.00050948684,16236.8260023908,7335.91513404685,18567.9745219207,12467.0371389893,27106.9002347006,3144.55139269121,21795.2167545863,6641.68918571089,7535.49226824813
"1806",446.290699986652,446.289548242114,446.291640439215,1087.47200000002,1086.68899999998,1088.53400000002,20,7,6,7,18063.5203288345,17023.9947364531,16890.6277290172,16910.6924923635,17040.5904059391,16533.6251694386,16013.1148854125,4486.44986679778,24436.6558746687,14162.9405422122,27588.5945500197,4502.43199520605,22206.2430563142,8551.86045318212,7830.67178280018,13938.5174927493,70137.0970648568,4108.27569697984,28610.82839307,9542.0422410127,43042.1645696162,15763.6185782087,68142.29550472,7553.91535771207,22031.0902196913,6017.31561261904,21554.7334758443
"68",91.0545888755016,91.0541326826574,91.0551813079045,806.081,805.422,806.86199999998,23,7,8,8,19049.7606769077,17282.4638430016,18049.401233089,19597.9976213708,18584.8224323092,17535.0893447631,19673.6334858856,15869.7235913182,10872.1223652147,23368.4742680335,12629.6388824847,13906.6984276842,9797.16899453849,21320.205392979,4134.75948438607,24934.2759710732,29499.582869008,16144.6917434266,7240.37188345953,23798.0085039032,17874.208729812,30231.9818419577,23174.439691056,22724.8120808549,15274.2430571613,23695.4361264757,9299.28283448154
"163",115.07530556159,115.074879631765,115.076097924537,452.593,451.78500000002,453.336,23,7,7,9,15578.7425194632,14162.1313773685,14764.6795793158,15517.4382862905,15446.6522058884,16045.6794610188,14865.0567283243,10233.8186209473,11365.682482158,15897.9279375274,15678.2819918574,8565.44577376895,9693.19165247851,19658.5507149452,3796.01210775311,12918.7922103291,17546.1300494995,8544.82031992145,11054.1837970558,12728.4142690138,15693.0090974618,10641.4215411582,15546.6563236299,15870.65939379,14505.9533282836,12338.0007081558,14046.0129321246
"392",137.059547559983,137.059238174273,137.06042142572,806.08100000002,805.054,806.86199999998,21,7,6,8,14742.4302578671,13790.9949042271,14383.9224672875,13819.5660580395,13138.7052096384,12823.5960795976,13801.990650879,12838.3763867784,7317.63010494422,16889.6582620099,9174.82902433887,9024.77349004722,5786.35582319892,15101.8764404646,2180.04963626526,17060.1650416077,19973.7685639259,11217.2605612916,5532.00678817599,17813.4091620602,14005.2002947592,20851.669378418,17567.9739035645,15481.2760051563,11174.8714788906,15302.1968431545,4867.84138546172
"579",169.119725347832,169.119520115486,169.119988796354,604.64050000001,603.97600000002,604.66299999998,6,6,0,0,32519.5655294246,8707.63970822669,9310.27797356326,8548.0449447489,8275.08637175688,8129.53126390634,8570.95947995526,0,0,531.632628301159,473.46952704462,156.896045379263,475.445353196432,494.149517653109,135.516903323432,797.984880176528,456.387042964809,151.590849705894,281.749501101673,513.187805815958,425.447718478739,739.5324940638,453.477096034835,710.949317112135,496.956620933488,474.948223040726,0
"1594",406.329438964149,406.328558580418,406.330537229545,1618.74149999999,1618.05899999998,1619.62399999998,18,6,6,6,20894.6032421603,18866.2021192812,16156.4422246634,12472.7758825084,19606.8278761,455.531067957099,14729.5041801904,20046.2876151276,14711.4760891551,10200.879808784,12472.0970620368,19070.9992038062,21411.6836287325,10959.1956799146,16417.1988910557,444.413725329778,4397.6884257494,17945.7039117642,18080.3925725546,12471.1931573799,16994.2422322802,10979.954169747,11012.2279156802,9046.11347899557,11264.5206030776,15929.8715896761,14502.9615645553
"1717",432.311208223162,432.309166013927,432.31226489388,1094.49499999998,1093.79700000002,1095.12499999998,15,6,4,5,28871.0505859872,26726.608837364,24486.7869482686,27055.6921577458,26529.577568389,23782.1598487911,25454.7867260044,9480.50511231495,21609.3798442468,37868.201855892,26021.0037439976,5132.41872382237,10801.7648701473,45949.5015606759,6761.49054362131,25317.6351767715,24086.4504337303,15208.203873565,15871.5656749217,37372.2810553335,22384.7256993217,40257.1471244537,42127.7657200809,64232.0964705744,32307.3113858514,31659.3740497106,19646.6158256626
"1759",438.51934242276,438.514898968979,438.520026597647,659.70449999999,658.658,659.92599999998,4,3,0,1,10138.5334362906,10113.5092236185,9852.75304321361,10219.6519970347,10760.5457353416,8687.86201317068,10983.7049165861,3807.56497832631,2923.1005803808,10937.4617661872,8914.24504224969,3726.87810613416,3502.21519771935,7539.10631062218,2760.54177519572,8910.20085453285,13246.3214865762,3250.17044339845,3415.05180822712,18774.0036303054,11060.9246953348,7720.75261503802,10870.9399405782,12892.3826680517,12451.872409328,3618.53870539081,5263.53365551795
"1760",438.525614205097,438.520375763653,438.527455175022,659.874,658.951,660.051,13,4,5,4,10602.6780644714,10089.5869633353,9877.24111575089,10068.2387612153,10917.1560613751,8703.55266996695,10955.0925172363,3807.56497832631,2922.77131895979,10894.5817409273,9019.53113626832,3726.25372078413,3502.16581405785,7538.42300418331,2760.54177519572,8919.44278395701,13118.2996547744,3250.17044339845,3415.33814390147,18373.6777599927,11186.8792991028,7720.37642813015,10883.3561649407,12867.4852271905,12573.7823607177,3618.53870539081,5262.97781284583
"1791",443.188836098609,443.186777682863,443.190135786569,659.4395,658.951,660.051,20,7,6,7,12574.0060402251,12201.1708644497,9483.13656587026,11831.9693556018,12515.8840553343,9339.27858118529,13427.4848867431,5016.44308043218,5532.61823708098,16558.5883982517,13816.4776234616,6654.14976017359,5693.01197946205,13975.5788586183,4934.18987380607,16294.7438511259,20471.998709832,4699.72694787782,5797.96274448978,10323.2277652537,18293.6055957609,14109.8278440595,14027.8273343355,18458.1950948835,19977.6878483954,5296.35012880074,8878.24272826381
"1794",443.522434338437,443.521751887472,443.524936844048,659.49699999998,658.951,660.051,15,5,5,5,8421.14370012263,7893.00388573136,5910.4964672327,8132.51697671113,9124.62842659108,6140.17951000156,8442.92827471394,3305.72799302397,3423.19168829592,11055.8023586801,9636.40090848216,4656.25502335445,3603.14746361548,8366.61551027307,3553.72739671101,10152.4932409763,13775.3331904905,3078.32897492684,3898.94215808529,6608.98862013275,11930.7997028708,7978.60130913884,9942.17207410979,12481.3701455377,13416.02780249,3136.36820726097,5390.42869173083
"3049",645.305363413977,645.303963825853,645.30715251871,659.38899999998,658.951,660.025,27,7,10,10,367031.493852288,349180.902512698,351920.85441902,339800.923315117,337398.474340355,336583.384705687,331866.115533218,111404.130923799,130930.82686019,546613.694138741,415540.752216777,151938.328418739,105985.906972913,301803.438930297,87633.0489987735,460184.902232144,627341.455709938,115847.54166899,138787.025862015,353034.138716122,550995.515385709,480670.651639977,433585.807740991,581664.57860737,666875.225419867,169726.384400064,175718.005959671
"3054",645.807012474224,645.80532850384,645.808503882486,659.388,658.951,659.91900000002,27,7,10,10,241999.438992108,226507.496302384,230784.868130023,222579.531709752,226219.337299534,225434.490767743,218651.276993649,72843.1339138932,87636.3729211788,361436.566179294,275571.7471102,102912.131798319,72822.4363749068,203467.94329936,59807.2600871101,305207.824778105,416373.023133012,77195.7948006498,91843.3293511475,236105.722325944,360318.360102996,318351.598828933,284239.171854162,381813.671294466,440382.197360936,114187.428495007,117579.67087973
"3056",646.307983947659,646.306443190513,646.309594302977,659.388,658.951,659.91900000002,27,7,10,10,93750.543275214,88410.8573064392,89472.3209801515,85677.1852130803,85793.6367221305,86702.5534333821,85140.8780113603,31063.9320442998,34353.0711622659,138690.300241808,105700.160877992,40297.0843243737,28567.5390885448,77203.231978465,24608.8011103369,117997.000209033,157570.898391441,31996.1290222106,37886.4300008359,91637.1432717977,138506.688741922,122657.549899221,110072.725015302,144033.551964163,166421.809694235,44705.7521158676,45176.603177801
"3061",646.809206973402,646.807208303341,646.81098454965,659.38849999999,658.951,660.051,26,7,9,10,28284.7994111038,26123.2859057369,26557.6011633366,25301.7050055127,25438.6490435792,25558.2447821041,24201.7551139403,8997.82359197259,10463.5607456983,39125.236841789,30905.2852727888,12590.3523898184,8929.57156334072,22847.8545051515,6823.93797342477,35155.4915022142,46877.72883439,9431.56281438216,11510.4966154945,28331.9725785489,38690.3944493807,34622.0894632107,33145.9390767518,43329.084538109,48808.1289842597,13312.1409125048,13681.1755031163
"3065",647.308495212153,647.306590166703,647.310404255335,659.34850000002,658.951,660.051,18,7,5,6,9630.18459907639,9290.48785473634,9001.5707186914,8921.99864400819,8841.00266955572,9030.91190492594,9155.08708012819,4174.08304478651,4269.99232134853,14270.8529997009,8280.82177556502,5583.14988368936,2897.05213234652,7188.80908214795,2106.61000659102,11699.1671752137,11760.1863447874,4600.62620551655,4008.99615682023,9838.07620966437,12516.0654943852,13800.8134641235,8511.74213536202,11976.6415202008,13781.9887770872,6450.85349996216,4597.14700256825
"3106",656.295621937079,656.294501424003,656.297575080533,659.45499999998,658.951,660.051,27,7,10,10,40332.3511161395,40179.870551018,40941.7505939229,37510.766114816,38825.5700162243,39815.984867182,37079.4731657124,13524.0318383538,15721.3492278688,58129.1878451304,47742.8228838258,19342.2607728388,14331.0667507268,32801.5417284806,11168.9719300031,50775.96707917,67578.269514363,13936.7973593561,16850.2638126298,38328.1272137987,60850.3418224865,47036.0273027945,44824.8616787264,61757.8960599806,69049.6429543302,21561.8394636211,20935.9212808639
"3109",656.797131297056,656.794789624916,656.799154324248,659.388,658.951,660.26200000002,27,7,10,10,28359.3760226317,28181.9389124184,28039.5270709786,25985.9912233031,26268.6959621085,27058.537073931,24856.3785050041,9374.80838733736,11336.0399633839,40502.2890164284,32562.786183853,13384.9028366674,9166.35398903101,22905.6529786317,8318.93710430452,34617.7774646668,46619.3955682787,9664.46327002785,12024.1839845215,26429.726323719,42057.2812796252,32106.8209167055,29700.7431341531,40244.6509535778,47757.0661366503,14954.2546368287,15023.9703085389
"3112",657.296313416104,657.294020831359,657.297252523322,659.35799999998,658.951,660.051,19,7,5,7,13976.1419289733,13336.9558702216,13319.4678548674,12741.4062445136,12876.4787012757,12523.306955969,13087.2405978058,5479.44288919465,5540.22798844753,19050.4781477626,15806.7333142231,6598.15778300033,4872.68902468548,11383.7361869244,3806.95360787521,16849.338687555,23564.106715393,4875.91850515216,5642.46313295753,12438.9377651235,20635.7746036787,15749.6124477416,15551.3782490966,21689.2551688639,23513.0905674344,6947.22531803654,8019.40673004528
"3148",664.280228933716,664.27781313365,664.281361554381,659.51499999998,659.29900000002,660.025,7,0,3,4,6269.1439701356,7016.35247182731,6007.4848184011,6654.75017737132,6952.40913986112,5987.88264892297,7188.85293034992,2472.60898573138,2854.45229997043,9837.94739886476,8088.48946388811,3019.7273037415,2810.49056122856,7331.83363957114,1951.30271831946,8447.7264827444,11051.1420019256,2451.31826871308,2753.41485268436,6035.49458758021,9128.4414089813,6779.5127500693,7512.42846864518,10451.9422949132,11371.780597357,2499.58914059401,4052.95847875858
"3816",957.42918936748,957.427187366253,957.431738353586,659.52299999998,658.72299999998,660.192,25,7,8,10,107148.978759955,98805.0832399388,107713.453552267,86167.8770513073,95595.1945573656,101088.600657927,90958.7543501387,22748.0836124137,20197.8397501834,187042.525363934,58087.3996188682,26376.7797350823,7040.43503206508,48535.5388900444,682.23208874464,152294.605905954,73021.7465254133,25890.4180187812,13279.5682703601,130333.335577173,124320.682421905,135130.768353083,31544.0954102912,114187.07403623,142276.094618484,60520.0334737201,18146.3092675573
"3822",958.431982530209,958.429164053789,958.434371757275,659.50999999998,658.951,660.192,24,7,8,9,49792.6164434223,47052.650292756,50642.8103285618,41439.5675614061,44861.3191939409,46677.444465917,43988.1785982823,11022.9409211385,9214.54031386146,87449.1914192719,28833.9715839781,12370.1656661995,3522.37696003901,23292.5278175013,0,69946.7723279585,34163.1708471804,12826.8799401268,6367.81720687449,61186.6901727996,58869.5083141812,62939.6418484616,14770.3833269208,54874.9355524595,67238.8015166012,28722.4931174343,9177.84437193427
