query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
80.97446821,HMDB0000973,Phosphate,C00009,H3O4P,97.976895096,M+H-H2O,+,80.974195,3
80.97446821,HMDB0001429,Phosphate,C00009,H3O4P,97.976895096,M+H-H2O,+,80.974195,3
80.97446821,HMDB0002105,Phosphate,C00009,H3O4P,97.976895096,M+H-H2O,+,80.974195,3
80.97446821,HMDB0002142,Phosphate,C00009,H3O4P,97.976895096,M+H-H2O,+,80.974195,3
98.98464861,HMDB0000973,Phosphate,C00009,H3O4P,97.976895096,M+H,+,98.984171,5
98.98464861,HMDB0001429,Phosphate,C00009,H3O4P,97.976895096,M+H,+,98.984171,5
98.98464861,HMDB0002105,Phosphate,C00009,H3O4P,97.976895096,M+H,+,98.984171,5
98.98464861,HMDB0002142,Phosphate,C00009,H3O4P,97.976895096,M+H,+,98.984171,5
105.0702752,HMDB0041609,4-Methylbenzyl alcohol,C06757,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0059873,3-Ethylphenol,C14386,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0062024,"2,7-Dimethyloxepine",n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0033944,2-Phenylethanol,C05853,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032151,"3,4-Dimethylphenol",n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0029306,4-Ethylphenol,C13637,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032148,"2,3-Dimethylphenol",n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032619,1-Phenylethanol,C07112,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032076,1-Methoxy-4-methylbenzene,n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032074,1-Methoxy-2-methylbenzene,n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0032150,"2,6-Dimethylphenol",n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0030540,"2,5-Dimethylphenol",n/a,C8H10O,122.073164942,M+H-H2O,+,105.070465,2
105.0702752,HMDB0061975,"1,3,7-Octatrien-5-yne",n/a,C8H8,104.062600258,M+H,+,105.069876,4
105.0702752,HMDB0034240,Styrene,C19506,C8H8,104.062600256,M+H,+,105.069876,4
115.0390872,HMDB0031859,Norfuraneol,n/a,C5H6O3,114.031694058,M+H,+,115.03897,1
115.0390872,HMDB0060461,cis-Acetylacrylate,C07091,C5H6O3,114.031694058,M+H,+,115.03897,1
115.0390872,HMDB0029884,"2-C-Methyl-1,4-erythrono-D-lactone",n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0154759,3-Hydroxy-3-methyl-2-oxobutanoic acid,C04181,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0145654,SCHEMBL17123851,n/a,C5H8O4,132.042258738,M+H-H2O,+,115.039559,4
115.0390872,HMDB0154760,alpha-keto-beta-methyl-gamma-hydroxy-butyric acid,n/a,C5H8O4,132.042258738,M+H-H2O,+,115.039559,4
115.0390872,HMDB0006855,(S)-2-Acetolactate,C06010,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0006833,2-Acetolactate,C00900,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0002001,Dimethylmalonic acid,n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0000622,Ethylmalonic acid,n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0000576,Monoethyl malonic acid,n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0000661,Glutaric acid,C00489,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0001844,(S)-methylsuccinic acid,n/a,C5H8O4,132.042258738,M+H-H2O,+,115.039559,4
115.0390872,HMDB0033958,"2-Deoxy-L-ribono-1,4-lactone",n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
115.0390872,HMDB0040531,2-Hydroxy-4-oxopentanoic acid,n/a,C5H8O4,132.042258744,M+H-H2O,+,115.039559,4
118.0862133,HMDB0132474,2-methylbut-2-enoic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0170858,Isopropenylacetic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0149276,SCHEMBL15659879,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0130837,2-methylbut-3-enoic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0163712,SCHEMBL6914033,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0163713,73255-29-5,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0163714,1-(2-methyloxiran-2-yl)ethan-1-one,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0129418,"3,3-dimethyloxirane-2-carbaldehyde",n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0180166,3-methyl-4-trans-hydroxy-2-butenal,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,0
118.0862133,HMDB0032385,Methyl methacrylate,C19504,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0001470,Tiglic acid,C08279,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0000509,Senecioic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0033978,Ethyl acrylate,C19238,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0029599,Glutaral,C12518,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0001862,2-Ethylacrylic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0002167,3-Methylbutyrolactone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0029608,Angelic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0031602,4-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0035143,Dihydro-3-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0031178,2-Methyltetrahydrofuran-3-one,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0033840,Dihydro-5-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0032351,Isopropenyl acetate,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0032459,2-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0031648,"2,4-Pentanedione",C15499,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0031598,"2,3-Pentanedione",n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,0
118.0862133,HMDB0001382,Vaporole,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862133,HMDB0013716,Norvaline,C01799,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862133,HMDB0000883,L-Valine,C00183,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862133,HMDB0003355,5-Aminopentanoic acid,C00431,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862133,HMDB0002141,N-Methyl-a-aminoisobutyric acid,n/a,C5H11NO2,117.078978601,M+H,+,118.086255,0
118.0862133,HMDB0061966,1-nitropentane,n/a,C5H11NO2,117.078978598,M+H,+,118.086255,0
118.0862133,HMDB0062141,"N,N-Dimethyl-L-Alanine",n/a,C5H11NO2,117.078978601,M+H,+,118.086255,0
