"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000123","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"HMDB0014691","Acetohydroxamic Acid","HMDB0014691","1990","C06808","CC(=O)NO","1"
"HMDB0031239","Ethyl nitrite","HMDB0031239","8026",NA,"CCON=O","1"
"HMDB0161401","NA","NA","NA","NA","NA","0"
"HMDB0000925","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"HMDB0142449","NA","NA","NA","NA","NA","0"
"HMDB0140038","NA","NA","NA","NA","NA","0"
"HMDB0012136","1-Amino-propan-2-ol","HMDB0012136","4","C05771","CC(CN)O","1"
"HMDB0062143","NA","NA","NA","NA","NA","0"
"HMDB0031558","Methyloxirane","HMDB0031558","6378","C15508","CC1CO1","1"
"HMDB0031652","Allyl alcohol","HMDB0031652","7858","C02001","C=CCO","1"
"HMDB0003366","Propanal","HMDB0003366","527","C00479","CCC=O","1"
"HMDB0001659","Acetone","HMDB0001659","180","C00207","CC(=O)C","1"
"HMDB0184570","NA","NA","NA","NA","NA","0"
"HMDB0003381","4-Hydroxycrotonic acid","HMDB0003381","6155526",NA,"C(/C=C/C(=O)O)O","1"
"HMDB0031646","Acetic anhydride","HMDB0031646","7918",NA,"CC(=O)OC(=O)C","1"
"HMDB0178247","NA","NA","NA","NA","NA","0"
"HMDB0171690","NA","NA","NA","NA","NA","0"
"HMDB0168831","NA","NA","NA","NA","NA","0"
"HMDB0172028","NA","NA","NA","NA","NA","0"
"HMDB0172027","NA","NA","NA","NA","NA","0"
"HMDB0002217","(S)-Methylmalonic acid semialdehyde","HMDB0002217","5462303","C06002","C[C@@H](C=O)C(=O)O","1"
"HMDB0001259","Succinic acid semialdehyde","HMDB0001259","1112","C00232","C(CC(=O)O)C=O","1"
"HMDB0001172","2-Methyl-3-oxopropanoic acid","HMDB0001172","296","C00349","CC(C=O)C(=O)O","1"
"HMDB0000005","2-Ketobutyric acid","HMDB0000005","58","C00109","CCC(=O)C(=O)O","1"
"HMDB0000060","Acetoacetic acid","HMDB0000060","96","C00164","CC(=O)CC(=O)O","1"
"HMDB0062133","NA","NA","NA","NA","NA","0"
"HMDB0094691","Furanone A","HMDB0094691","140765","C17602","O=C1CC=CO1","1"
"HMDB0032330","4-Hydroxy-2-butenoic acid gamma-lactone","HMDB0032330","10341","C17601","C1C=CC(=O)O1","1"
"HMDB0031859","Norfuraneol","HMDB0031859","4564493",NA,"CC1=C(C(=O)CO1)O","1"
"HMDB0060461","cis-Acetylacrylate","HMDB0060461","5281015","C07091","[H]\C(=C(/[H])C(O)=O)C(C)=O","1"
"HMDB0062029","NA","NA","NA","NA","NA","0"
"HMDB0032914","2-Furancarboxaldehyde","HMDB0032914","7362","C14279","C1=COC(=C1)C=O","1"
"HMDB0060503","Protoanemonin","HMDB0060503","66948","C07090","C=C1OC(=O)C=C1","1"
"HMDB0167366","NA","NA","NA","NA","NA","0"
"HMDB0094692","NA","NA","NA","NA","NA","0"
"HMDB0041945","NA","NA","NA","NA","NA","0"
"HMDB0167367","NA","NA","NA","NA","NA","0"
"HMDB0167365","NA","NA","NA","NA","NA","0"
"HMDB0240305","NA","NA","NA","NA","NA","0"
"HMDB0031654","3-Aminobutanoic acid","HMDB0031654","10932",NA,"CC(CC(=O)O)N","1"
"HMDB0094693","NA","NA","NA","NA","NA","0"
"HMDB0002166","(S)-b-aminoisobutyric acid","HMDB0002166","439434","C03284","C[C@@H](CN)C(=O)O","1"
"HMDB0000452","L-Alpha-aminobutyric acid","HMDB0000452","80283","C02356","CC[C@@H](C(=O)O)N","1"
"HMDB0002299","(R)-b-aminoisobutyric acid","HMDB0002299","5459822","C01205","C[C@H](CN)C(=O)O","1"
"HMDB0001906","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(C(=O)O)N","1"
"HMDB0003911","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(=O)O","1"
"HMDB0000112","Gamma-Aminobutyric acid","HMDB0000112","223130","C00334","C(CC(=O)O)CN","1"
"HMDB0038394","NA","NA","NA","NA","NA","0"
"HMDB0031329","Butyl nitrite","HMDB0031329","10996",NA,"CCCCON=O","1"
"HMDB0000092","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(=O)O","1"
"HMDB0000650","D-Alpha-aminobutyric acid","HMDB0000650","439691","C02261","CC[C@H](C(=O)O)N","1"
"HMDB0061050","NA","NA","NA","NA","NA","0"
"HMDB0167139","NA","NA","NA","NA","NA","0"
"HMDB0167138","NA","NA","NA","NA","NA","0"
"HMDB0000549","Gamma-Butyrolactone","HMDB0000549","7302","C01770","C1CC(=O)OC1","1"
"HMDB0002523","Oxolan-3-one","HMDB0002523","529392",NA,"C1COCC1=O","1"
"HMDB0003407","Diacetyl","HMDB0003407","650","C00741","CC(=O)C(=O)C","1"
"HMDB0031209","Ethenyl acetate","HMDB0031209","7904","C19309","CC(=O)OC=C","1"
"HMDB0034439","Isocrotonic acid","HMDB0034439","643792",NA,"C/C=C\C(=O)O","1"
"HMDB0033977","Methyl acrylate","HMDB0033977","7294","C19443","COC(=O)C=C","1"
"HMDB0174868","NA","NA","NA","NA","NA","0"
"HMDB0010720","But-2-enoic acid","HMDB0010720","637090","C01771","C/C=C/C(=O)O","1"
"HMDB0240288","NA","NA","NA","NA","NA","0"
"HMDB0161316","NA","NA","NA","NA","NA","0"
"HMDB0003364","Quinone","HMDB0003364","4650","C00472","C1=CC(=O)C=CC1=O","1"
"HMDB0012133","1,2-Benzoquinone","HMDB0012133","11421","C02351","C1=CC(=O)C(=O)C=C1","1"
"HMDB0187591","NA","NA","NA","NA","NA","0"
"HMDB0187592","NA","NA","NA","NA","NA","0"
"HMDB0059735","NA","NA","NA","NA","NA","0"
"HMDB0124831","NA","NA","NA","NA","NA","0"
"HMDB0031256","4-Hydroxy-2H-pyran-3-carboxaldehyde","HMDB0031256",NA,NA,"OC1=C(COC=C1)C=O","1"
"HMDB0029750","Methyl 2-furoate","HMDB0029750","11902",NA,"COC(=O)C1=CC=CO1","1"
"HMDB0030776","Maltol","HMDB0030776","8369","C11918","CC1=C(C(=O)C=CO1)O","1"
"HMDB0013674","1,2,3-Trihydroxybenzene","HMDB0013674","3446","C01108","C1=CC(=C(C(=C1)O)O)O","1"
"HMDB0013675","1,3,5-Trihydroxybenzene","HMDB0013675","359","C02183","C1=C(C=C(C=C1O)O)O","1"
"HMDB0034355","5-Hydroxymethyl-2-furancarboxaldehyde","HMDB0034355","237332","C11101","C1=C(OC(=C1)C=O)CO","1"
"HMDB0032651","(Z)-Tamarindienal","HMDB0032651","13433797",NA,"CC(=O)\C=C\C(=O)C=O","1"
"HMDB0061950","NA","NA","NA","NA","NA","0"
"HMDB0000532","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(=O)O","1"
"HMDB0006454","L-2-Amino-3-oxobutanoic acid","HMDB0006454","440033","C03508","CC(=O)[C@@H](C(=O)O)N","1"
"HMDB0012249","L-Aspartate-semialdehyde","HMDB0012249","439235","C00441","C(C=O)[C@@H](C(=O)O)N","1"
"HMDB0161181","NA","NA","NA","NA","NA","0"
"HMDB0187639","NA","NA","NA","NA","NA","0"
"HMDB0032523","Succinic anhydride","HMDB0032523","7922","C19524","C1CC(=O)OC1=O","1"
"HMDB0029389","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid","HMDB0029389","3914727",NA,"C(C(C(C(=O)O)N)O)O","1"
"HMDB0000034","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"HMDB0003431","L-Histidinol","HMDB0003431","165271","C00860","C1=C(NC=N1)C[C@@H](CO)N","1"
"HMDB0168717","NA","NA","NA","NA","NA","0"
"HMDB0168715","NA","NA","NA","NA","NA","0"
"HMDB0168716","NA","NA","NA","NA","NA","0"
"HMDB0168718","NA","NA","NA","NA","NA","0"
"HMDB0062061","NA","NA","NA","NA","NA","0"
"HMDB0030302","2,3,4-Trimethylhexane","HMDB0030302","13533",NA,"CCC(C)C(C)C(C)C","1"
"HMDB0029595","Nonane","HMDB0029595","8141","C02445","CCCCCCCCC","1"
"HMDB0030301","2,2,3,4-Tetramethylpentane","HMDB0030301","14462",NA,"CC(C)C(C)C(C)(C)C","1"
"HMDB0031556","Isononane","HMDB0031556","18591",NA,"CCCCCCC(C)C","1"
"HMDB0031416","3,4-Dimethylheptane","HMDB0031416","13534",NA,"CCCC(C)C(C)CC","1"
"HMDB0062017","NA","NA","NA","NA","NA","0"
"HMDB0062013","NA","NA","NA","NA","NA","0"
"HMDB0032380","(S1)-Methoxy-3-heptanethiol","HMDB0032380","12009861",NA,"CCCC[C@H](S)CCOC","1"
"HMDB0163603","NA","NA","NA","NA","NA","0"
"HMDB0163602","NA","NA","NA","NA","NA","0"
"HMDB0163605","NA","NA","NA","NA","NA","0"
"HMDB0163604","NA","NA","NA","NA","NA","0"
"HMDB0163600","NA","NA","NA","NA","NA","0"
"HMDB0163599","NA","NA","NA","NA","NA","0"
"HMDB0163240","NA","NA","NA","NA","NA","0"
"HMDB0151242","NA","NA","NA","NA","NA","0"
"HMDB0176252","NA","NA","NA","NA","NA","0"
"HMDB0176253","NA","NA","NA","NA","NA","0"
"HMDB0176255","NA","NA","NA","NA","NA","0"
"HMDB0176254","NA","NA","NA","NA","NA","0"
"HMDB0176256","NA","NA","NA","NA","NA","0"
"HMDB0059926","NA","NA","NA","NA","NA","0"
"HMDB0059925","NA","NA","NA","NA","NA","0"
"HMDB0036669","NA","NA","NA","NA","NA","0"
"HMDB0032468","2-Phenylpropionaldehyde dimethyl acetal","HMDB0032468","62336",NA,"CC(C1=CC=CC=C1)C(OC)OC","1"
"HMDB0030039","Jasmolone","HMDB0030039","5374699",NA,"CC/C=C/CC1=C(C(CC1=O)O)C","1"
"HMDB0039957","NA","NA","NA","NA","NA","0"
"HMDB0035240","Dihydroactinidiolide","HMDB0035240","27209",NA,"CC1(CCCC2(C1=CC(=O)O2)C)C","1"
"HMDB0030007","2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene","HMDB0030007","11745236",NA,"CC1(C=CC2(O1)C=CC(O2)(C)C)C","1"
"HMDB0039159","NA","NA","NA","NA","NA","0"
"HMDB0164135","NA","NA","NA","NA","NA","0"
"HMDB0036817","NA","NA","NA","NA","NA","0"
"HMDB0094728","NA","NA","NA","NA","NA","0"
"HMDB0094729","NA","NA","NA","NA","NA","0"
"HMDB0006348","Pseudoecgonine","HMDB0006348","443845","C12449","CN1C2CCC1[C@@H]([C@H](C2)O)C(=O)O","1"
"HMDB0006548","Ecgonine","HMDB0006548","443003","C10858","CN1C2CCC1[C@H]([C@H](C2)O)C(=O)O","1"
"HMDB0094730","NA","NA","NA","NA","NA","0"
"HMDB0094731","NA","NA","NA","NA","NA","0"
"HMDB0163437","NA","NA","NA","NA","NA","0"
"HMDB0028691","Alanyl-Leucine","HMDB0028691","96801",NA,"CC(C)CC(NC(=O)C(C)N)C(O)=O","1"
"HMDB0028922","Leucyl-Alanine","HMDB0028922","81721",NA,"CC(C)CC(N)C(=O)NC(C)C(O)=O","1"
"HMDB0028690","Alanyl-Isoleucine","HMDB0028690","7408079",NA,"CCC(C)C(NC(=O)C(C)N)C(O)=O","1"
"HMDB0163436","NA","NA","NA","NA","NA","0"
"HMDB0094713","NA","NA","NA","NA","NA","0"
"HMDB0163435","NA","NA","NA","NA","NA","0"
"HMDB0163440","NA","NA","NA","NA","NA","0"
"HMDB0028900","Isoleucyl-Alanine","HMDB0028900","7009577",NA,"CCC(C)C(N)C(=O)NC(C)C(O)=O","1"
"HMDB0039590","NA","NA","NA","NA","NA","0"
"HMDB0039339","NA","NA","NA","NA","NA","0"
"HMDB0032531","2-trans-6-cis-Dodecadienal","HMDB0032531","6430759",NA,"CCCCC/C=C\CC/C=C/C=O","1"
"HMDB0038108","NA","NA","NA","NA","NA","0"
"HMDB0031181","Homodihydrojasmone","HMDB0031181","11137732",NA,"CCCCCCC1=C(CCC1=O)C","1"
"HMDB0001539","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","CN(C)C(=NCCC[C@@H](C(=O)O)N)N","1"
"HMDB0003334","Symmetric dimethylarginine","HMDB0003334","169148",NA,"CNC(=NC)NCCC[C@@H](C(=O)O)N","1"
"HMDB0014410","Crotamiton","HMDB0014410","688020",NA,"CCN(C1=CC=CC=C1C)C(=O)/C=C/C","1"
"HMDB0151779","NA","NA","NA","NA","NA","0"
"HMDB0030931","(E)-2-Tridecene-4,6,8-triyn-1-ol","HMDB0030931","101412523",NA,"CCCCC#CC#CC#C\C=C\CO","1"
"HMDB0038526","NA","NA","NA","NA","NA","0"
"HMDB0060850","NA","NA","NA","NA","NA","0"
"HMDB0030305","Dioscorine","HMDB0030305","267893","C10142","CC1=CC(=O)OC2(C1)CC3CCC2CN3C","1"
"HMDB0037896","NA","NA","NA","NA","NA","0"
"HMDB0032273","N-Ethyl trans-2-cis-6-nonadienamide","HMDB0032273","11309884","C06551","CC/C=C\CC/C=C/C(=O)NCC","1"
"HMDB0037889","NA","NA","NA","NA","NA","0"
"HMDB0037897","NA","NA","NA","NA","NA","0"
"HMDB0037890","NA","NA","NA","NA","NA","0"
"HMDB0037895","NA","NA","NA","NA","NA","0"
"HMDB0037894","NA","NA","NA","NA","NA","0"
"HMDB0037891","NA","NA","NA","NA","NA","0"
"HMDB0032205","cis- and trans-L-Mercapto-p-menthan-3-one","HMDB0032205","23341028",NA,"CC(C)C1CCC(CC1=O)(C)S","1"
"HMDB0037385","NA","NA","NA","NA","NA","0"
