"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,4.8103,8,0.016883,1.7726,1,1,0
"Phenylalanine metabolism",10,6.0129,9,0.046631,1.3313,1,1,1
"Linoleic acid metabolism",5,3.0065,5,0.078263,1.1064,1,1,1
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2.4052,3,0.47732,0.32119,1,1,1
"D-Arginine and D-ornithine metabolism",4,2.4052,2,0.82258,0.084821,1,1,0
"Riboflavin metabolism",4,2.4052,2,0.82258,0.084821,1,1,0.5
"D-Glutamine and D-glutamate metabolism",6,3.6077,3,0.82303,0.084586,1,1,0
"Tryptophan metabolism",41,24.653,22,0.84591,0.072675,1,1,0.76234
"Ubiquinone and other terpenoid-quinone biosynthesis",9,5.4116,4,0.90272,0.044445,1,1,0
"Synthesis and degradation of ketone bodies",5,3.0065,2,0.91429,0.038915,1,1,0.6
"Arginine biosynthesis",14,8.4181,6,0.94368,0.025175,1,1,0.30457
"Caffeine metabolism",10,6.0129,4,0.94676,0.023759,1,1,0.30769
"Taurine and hypotaurine metabolism",8,4.8103,3,0.95142,0.021626,1,1,0.42857
"Tyrosine metabolism",42,25.254,20,0.96584,0.015094,1,1,0.56485
"Vitamin B6 metabolism",9,5.4116,3,0.97577,0.010651,1,1,0.61765
"Butanoate metabolism",15,9.0194,5,0.99119,0.003841,1,1,0.14286
"Nitrogen metabolism",6,3.6077,1,0.99604,0.0017227,1,1,0
"Phosphonate and phosphinate metabolism",6,3.6077,1,0.99604,0.0017227,1,1,0.5
"One carbon pool by folate",9,5.4116,2,0.99637,0.0015776,1,1,0.79206
"Thiamine metabolism",7,4.209,1,0.99843,0.00068203,1,1,0
"Glycine, serine and threonine metabolism",33,19.843,12,0.99848,0.00065964,1,1,0.51996
"alpha-Linolenic acid metabolism",13,7.8168,3,0.99878,0.00053093,1,1,0.33333
"Pentose and glucuronate interconversions",18,10.823,5,0.99884,0.00050452,1,1,0.34374
"Ascorbate and aldarate metabolism",8,4.8103,1,0.99938,0.00026994,1,1,0
"Pantothenate and CoA biosynthesis",19,11.425,5,0.99943,0.00024894,1,1,0.05
"Biotin metabolism",10,6.0129,1,0.9999,4.2191e-05,1,1,0.15
"Porphyrin and chlorophyll metabolism",30,18.039,8,0.99996,1.7159e-05,1,1,0.33282
"Propanoate metabolism",23,13.83,5,0.99997,1.3132e-05,1,1,0.04822
"Alanine, aspartate and glutamate metabolism",28,16.836,7,0.99997,1.3019e-05,1,1,0.16186
"Nicotinate and nicotinamide metabolism",15,9.0194,2,0.99998,9.6743e-06,1,1,0.1943
"Terpenoid backbone biosynthesis",18,10.823,3,0.99998,9.5856e-06,1,1,0.00952
"Arginine and proline metabolism",38,22.849,11,0.99998,8.5804e-06,1,1,0.35537
"Sphingolipid metabolism",21,12.627,4,0.99998,8.0288e-06,1,1,0.04868
"Arachidonic acid metabolism",36,21.646,10,0.99998,7.0473e-06,1,1,0.34445
"Aminoacyl-tRNA biosynthesis",48,28.862,15,0.99999,4.4526e-06,1,1,0.22223
"Histidine metabolism",16,9.6206,2,0.99999,4.0497e-06,1,1,0.18852
"Valine, leucine and isoleucine degradation",40,24.052,11,0.99999,2.2999e-06,1,1,0.12321
"Citrate cycle (TCA cycle)",20,12.026,3,1,1.8212e-06,1,1,0.12319
"Retinol metabolism",17,10.222,2,1,1.6874e-06,1,1,0.21649
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,8.4181,1,1,1.0189e-06,1,1,0.00399
"Cysteine and methionine metabolism",33,19.843,7,1,3.3722e-07,1,1,0.30864
"Primary bile acid biosynthesis",46,27.659,12,1,1.9383e-07,1,1,0.25659
"Glycerolipid metabolism",16,9.6206,1,1,1.5739e-07,1,1,0.01402
"Ether lipid metabolism",20,12.026,2,1,1.1918e-07,1,1,0
"Fructose and mannose metabolism",20,12.026,2,1,1.1918e-07,1,1,0.03313
"Glycerophospholipid metabolism",36,21.646,7,1,3.4441e-08,1,1,0.33762
"Lysine degradation",25,15.032,3,1,2.6021e-08,1,1,0.01878
"Pyruvate metabolism",22,13.228,2,1,2.0014e-08,1,1,0.23794
"Glyoxylate and dicarboxylate metabolism",32,19.241,5,1,1.0828e-08,1,1,0.14815
"Biosynthesis of unsaturated fatty acids",36,21.646,6,1,4.1201e-09,1,1,0
"Pyrimidine metabolism",39,23.45,7,1,3.3281e-09,1,1,0.15042
"Glutathione metabolism",28,16.836,3,1,1.9294e-09,1,1,0.09925
"beta-Alanine metabolism",21,12.627,1,1,1.4502e-09,1,1,0.10448
"Pentose phosphate pathway",22,13.228,1,1,5.6625e-10,1,1,0
"Galactose metabolism",27,16.235,2,1,2.2015e-10,1,1,0
"Folate biosynthesis",27,16.235,2,1,2.2015e-10,1,1,0.00759
"Fatty acid degradation",39,23.45,5,1,3.1874e-11,1,1,0.03802
"Fatty acid elongation",39,23.45,5,1,3.1874e-11,1,1,0.07909
"Steroid hormone biosynthesis",85,51.11,23,1,2.0432e-11,1,1,0.38434
"Glycolysis / Gluconeogenesis",26,15.634,1,1,1.3026e-11,1,1,0.10044
"Drug metabolism - cytochrome P450",55,33.071,10,1,6.2409e-12,1,1,0.05797
