"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0031548","Dichloromethane","HMDB0031548","6344","C02271","C(Cl)Cl","1"
"HMDB0041801","NA","NA","NA","NA","NA","0"
"HMDB0041799","2,4-Toluenediamine","HMDB0041799","7261","C14401","CC1=C(N)C=C(N)C=C1","1"
"HMDB0041254","NA","NA","NA","NA","NA","0"
"HMDB0031844","Trimethylpyrazine","HMDB0031844","26808",NA,"CC1=CN=C(C(=N1)C)C","1"
"HMDB0041571","NA","NA","NA","NA","NA","0"
"HMDB0041568","NA","NA","NA","NA","NA","0"
"HMDB0041569","NA","NA","NA","NA","NA","0"
"HMDB0041570","NA","NA","NA","NA","NA","0"
"HMDB0003431","L-Histidinol","HMDB0003431","165271","C00860","C1=C(NC=N1)C[C@@H](CO)N","1"
"HMDB0000292","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"HMDB0000786","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"HMDB0001182","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"HMDB0062562","Trans-urocanate","HMDB0062562","1178",NA,"OC(=O)C=CC1=CN=CN1","1"
"HMDB0061680","NA","NA","NA","NA","NA","0"
"HMDB0031338","5-Oxo-2(5H)-isoxazolepropanenitrile","HMDB0031338","171055",NA,"C1=CN(OC1=O)CCC#N","1"
"HMDB0034174","(E)-Urocanic acid","HMDB0034174","736715","C00785","C1=C(NC=N1)/C=C\C(=O)O","1"
"HMDB0002730","Nicotinamide N-oxide","HMDB0002730","72661",NA,"C1=CC(=C[N+](=C1)[O-])C(=O)N","1"
"HMDB0000301","Urocanic acid","HMDB0000301","736715","C00785","C1=C(NC=N1)/C=C/C(=O)O","1"
"HMDB0034267","L-2-Amino-3-(1-pyrazolyl)propanoic acid","HMDB0034267","119630",NA,"C1=CN(N=C1)CC(C(=O)O)N","1"
"HMDB0000177","L-Histidine","HMDB0000177","6274","C00135","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"HMDB0154888","NA","NA","NA","NA","NA","0"
"HMDB0004225","2-Oxoarginine","HMDB0004225","558","C03771","C(CC(=O)C(=O)O)CN=C(N)N","1"
"HMDB0014890","Tranylcypromine","HMDB0014890","441233","C07155","C1[C@H](C1C2=CC=CC=C2)N","1"
"HMDB0012489","1,2,3,4-Tetrahydroisoquinoline","HMDB0012489","7046",NA,"C1CNCC2=CC=CC=C21","1"
"HMDB0031292","Octafluorocyclobutane","HMDB0031292","8263",NA,"C1(C(C(C1(F)F)(F)F)(F)F)(F)F","1"
"HMDB0094728","NA","NA","NA","NA","NA","0"
"HMDB0094729","NA","NA","NA","NA","NA","0"
"HMDB0006348","Pseudoecgonine","HMDB0006348","443845","C12449","CN1C2CCC1[C@@H]([C@H](C2)O)C(=O)O","1"
"HMDB0006548","Ecgonine","HMDB0006548","443003","C10858","CN1C2CCC1[C@H]([C@H](C2)O)C(=O)O","1"
"HMDB0094730","NA","NA","NA","NA","NA","0"
