"","metaboliteID","PC7","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",40,0.038155701281449,84.9597892353224,84.9591773697063,84.9602454639643,9.88699999998,6.551,15.898,25,7,8,10,124480.749324193,96445.4246078779,88292.552668452,90717.8721988002,105340.493128126,95125.7911964863,77835.8801634688,0,74566.6266517996,109101.947311996,82846.8640061751,82422.6340413391,85009.1453036469,97362.9090387518,0,61413.8681234493,65734.0270730574,125567.239783229,89572.3080857724,61355.7748799821,89074.9771128886,81954.8034124908,65277.1520892334,61052.2657551937,67666.8223081385,102976.512541328,99613.0111350957
"2",244,0.0320230962022168,123.091824382578,123.091403794596,123.092259454333,1664.69750000001,1662.304,1666.31000000002,6,2,4,0,227801.084620158,219147.238940096,212777.283137321,204043.42152973,204944.181160692,202329.862504452,185179.477959894,197944.280849504,173538.097074914,205394.712012539,199746.566186666,229947.931506348,305918.252106734,202347.022028847,246808.243601964,205582.599712133,272970.831129311,227385.31738617,195864.961955623,204057.034215653,207218.551490784,192506.62669698,182889.654544592,177316.644553292,182972.497862788,213852.550284576,217148.136799566
"3",255,0.0333010709450115,124.086928376823,124.086646909095,124.087619076678,1871.68999999998,1852.352,1895.032,69,7,9,10,3045732.32905311,6190620.82401641,2117375.99224997,1468608.60317606,2441161.30650939,5017093.64736797,3394494.4578888,1847807.01438783,1335948.87864596,3080411.39831608,1896499.600718,2239228.63779387,4143078.71951595,2251378.24677199,3302129.79608939,445629.446612057,2358883.64961747,2856837.31171465,2036575.18202427,1560076.3728729,2020704.42072438,2806313.22813678,1147320.52447829,1607596.90815032,2113877.19492087,3171030.76726793,2184151.3497468
"4",257,0.0311926610698893,124.086945957484,124.086707245572,124.087609310288,1663.32750000001,1654.95199999998,1666.98100000002,36,7,10,10,1595449.08782609,2635501.94716947,2413147.9729852,2504044.59812308,2849080.16020946,2595460.68374218,2803943.81290579,385046.150076635,2279076.89738199,2456078.70587508,2418527.46959321,3017608.65104776,2786928.8150622,2537241.74212145,2531729.56973305,2638628.90929205,2731106.84323535,2654543.27606697,2455596.18650895,2547729.41128293,2494654.98909494,2442478.80509734,1545777.79776,1314824.62527607,2383491.62837558,2794720.05716133,2785758.17935096
"5",259,0.0347325067768861,124.086887973705,124.086617998883,124.087650683758,2013.73049999999,1981.71999999998,2039.07200000002,82,7,9,9,3450556.41525572,280593.817705526,1170778.9998137,1468053.90099717,3162437.23941502,2234645.95935489,1709197.88656142,1651857.81242205,1609971.74848365,1144713.38774325,1683361.7665057,1806416.02948972,2709320.89459443,1839830.1268263,2329422.84349377,3336521.33633524,2490444.10820906,2577432.6814961,2256582.40698557,1231970.60412565,1455221.30898346,1629334.0718789,591349.12815235,711818.819669752,1417553.15464382,1831113.07789641,2037631.92031821
"6",422,0.032650599288581,143.958901347041,143.958591620641,143.959381683953,1919.70000000002,1910.36899999998,1937.707,8,2,5,1,118465.430687864,108095.496181212,102118.032890834,110604.084138747,79463.7316691669,65705.1917259445,106612.309389883,98511.6568713002,91080.983266294,134592.405077532,78468.6786727777,112973.146991578,165169.234525386,84238.7232121602,89576.7072505858,132930.575553505,123118.19120311,118719.301564937,91622.5693968326,100212.726464742,102169.358485213,100602.214690329,86899.3751993924,94404.1266713569,93603.1785644978,102077.254686168,115854.486774765
"7",488,0.0450711443230214,153.040659390864,153.039957127742,153.041504539229,184.02949999998,161.95400000002,185.97600000002,26,7,10,9,21213.1339141014,22294.8261100011,23097.3819080548,21768.5134747966,23149.0181193848,21677.3086447228,23225.6081327849,21880.3880497116,16324.2274757045,20063.7777519337,18911.6603060819,20667.9474375694,23056.8793829516,24536.1736702822,13763.2037888195,20881.391821428,19033.5477289551,17190.3621199315,30860.1133035584,13820.0413623704,14520.8549645269,13904.259963542,18307.1198524213,16796.241091725,16156.1610444357,18444.4655533781,16745.5774464152
"8",506,0.0324646247928963,156.076346915991,156.074719686485,156.077870764475,80.52899999998,67.20600000002,82.42099999998,37,7,10,9,23984.5488148828,25363.6948364385,18803.5702647724,19022.7469269233,15705.9370771637,20917.5547605702,18360.2776740439,16626.7962347586,22665.7583194336,22861.5201649323,20188.5413761412,14932.0115878937,24472.8771986671,26034.5335429443,12983.5379428378,17736.2315457191,19606.3642942047,21405.1651053711,25904.4103049344,16512.2247706843,21838.1221952275,27509.7596894796,15502.3751889995,18982.7174750637,17416.2670907335,16431.3679529177,21540.7936253906
"9",521,0.0303281550248225,158.961709025315,158.961042056206,158.962781587524,11.00099999998,6.551,39.89799999998,32,6,9,8,17757.656491511,16175.6940194952,40820.753154459,82637.8251561295,13044.1862050221,13133.1855785474,33158.662294872,43654.3889929709,14691.3591952708,37469.1514946875,38004.7007481738,37282.1930130852,14564.649061999,17570.7240255446,19977.3846974076,8998.33916272987,13240.9064654836,47809.7465052639,13042.3738422427,13539.0561874105,23419.4424284878,12913.8647992291,17240.8037407213,23370.1073003041,22894.9631467017,12868.0440741343,11773.3250697012
"10",642,0.031180604068181,182.984915455146,182.984121146031,182.985797622053,61.149,60.56499999998,61.64399999998,27,7,10,10,52076.0551202404,44674.372284806,42289.2298828729,41736.6007221827,42446.3527498211,44671.8066563929,40826.0106046248,59482.3201131536,43699.304491069,46517.1557587873,45750.4211248579,60766.9872403486,43216.1699540655,38441.0644578651,83747.9682284546,42264.8415049612,51682.4217277732,68670.3491708903,72372.9403335911,40431.3316924164,40759.1935650592,45522.0610814062,40274.5506078809,42657.0275786814,35308.496008329,42975.9441526367,42700.8483729887
