query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
76.03997675,HMDB0000123,Glycine,C00037,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0014691,Acetohydroxamic Acid,C06808,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0031239,Ethyl nitrite,n/a,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0161401,glycinate,n/a,C2H4NO2,74.024751953,M+H,+,76.039304,9
76.07656752,HMDB0000925,Trimethylamine N-oxide,C01104,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0142449,N-monomethylethanolamine,n/a,C3H9NO,75.068413914,M+H,+,76.07569,12
76.07656752,HMDB0140038,3-aminopropan-1-ol,n/a,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0012136,1-Amino-propan-2-ol,C05771,C3H9NO,75.068413915,M+H,+,76.07569,12
76.07656752,HMDB0062143,oxetane,n/a,C3H6O,58.041864813,M+NH4,+,76.075688,12
76.07656752,HMDB0031558,Methyloxirane,C15508,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0031652,Allyl alcohol,C02001,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0003366,Propanal,C00479,C3H6O,58.041864814,M+NH4,+,76.075688,12
76.07656752,HMDB0001659,Acetone,C00207,C3H6O,58.041864814,M+NH4,+,76.075688,12
84.9596648,HMDB0031548,Dichloromethane,C02271,CH2Cl2,83.953355478,M+H,+,84.960631,11
85.02908753,HMDB0184570,dihydro-4-hydroxy-3(2h)-furanone,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0003381,4-Hydroxycrotonic acid,n/a,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0031646,Acetic anhydride,n/a,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0178247,5469-16-9,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0171690,ethyl glyoxylate,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0168831,methyl oxirane-2-carboxylate,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0172028,3-Methyloxirane-2-carboxylic acid,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0172027,Tocris-0538,n/a,C4H6O3,102.031694053,M+H-H2O,+,85.028994,1
85.02908753,HMDB0002217,(S)-Methylmalonic acid semialdehyde,C06002,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0001259,Succinic acid semialdehyde,C00232,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0001172,2-Methyl-3-oxopropanoic acid,C00349,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0000005,2-Ketobutyric acid,C00109,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0000060,Acetoacetic acid,C00164,C4H6O3,102.031694058,M+H-H2O,+,85.028994,1
85.02908753,HMDB0062133,methyl prop-2-ynoate,n/a,C4H4O2,84.021129369,M+H,+,85.028405,8
85.02908753,HMDB0094691,but-3-en-4-olide,C17602,C4H4O2,84.021129369,M+H,+,85.028405,8
85.02908753,HMDB0032330,4-Hydroxy-2-butenoic acid gamma-lactone,C17601,C4H4O2,84.021129372,M+H,+,85.028405,8
97.02880377,HMDB0031859,Norfuraneol,n/a,C5H6O3,114.031694058,M+H-H2O,+,97.028994,2
97.02880377,HMDB0060461,cis-Acetylacrylate,C07091,C5H6O3,114.031694058,M+H-H2O,+,97.028994,2
97.02880377,HMDB0062029,3-furaldehyde,n/a,C5H4O2,96.021129369,M+H,+,97.028405,4
97.02880377,HMDB0032914,2-Furancarboxaldehyde,C14279,C5H4O2,96.021129372,M+H,+,97.028405,4
