query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
637.3051605,HMDB0015129,Neomycin,C01737,C23H46N6O13,614.312285588,M+Na,+,637.301504,6
637.3051605,HMDB0002160,Harderoporphyrinogen,n/a,C35H42N4O6,614.310435096,M+Na,+,637.299653,9
637.3051605,HMDB0039454,Argenteane,n/a,C40H46O8,654.319268448,M+H-H2O,+,637.316568,18
638.3085286,HMDB0173693,"4-{[2-({14-acetyl-14-hydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-13-yl}sulfanyl)-1-[(carboxymethyl)-C-hydroxycarbonimidoyl]ethyl]-C-hydroxycarbonimidoyl}-2-aminobutanoic acid",n/a,C31H47N3O9S,637.303301279,M+H,+,638.310577,3
638.3085286,HMDB0173692,"4-{[2-({14-acetyl-13-hydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl}sulfanyl)-1-[(carboxymethyl)-C-hydroxycarbonimidoyl]ethyl]-C-hydroxycarbonimidoyl}-2-aminobutanoic acid",n/a,C31H47N3O9S,637.303301279,M+H,+,638.310577,3
638.3085286,HMDB0173699,"4-{[2-({14-acetyl-5,14,17-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-13-yl}sulfanyl)-1-[(carboxymethyl)-C-hydroxycarbonimidoyl]ethyl]-C-hydroxycarbonimidoyl}-2-aminobutanoic acid",n/a,C31H49N3O10S,655.313865964,M+H-H2O,+,638.311166,4
638.3085286,HMDB0173698,"4-{[2-({14-acetyl-5,13,17-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl}sulfanyl)-1-[(carboxymethyl)-C-hydroxycarbonimidoyl]ethyl]-C-hydroxycarbonimidoyl}-2-aminobutanoic acid",n/a,C31H49N3O10S,655.313865964,M+H-H2O,+,638.311166,4
638.3085286,HMDB0142988,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,6,10,12a-tetrahydroxy-6-(hydroxymethyl)-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142998,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,6,10,12a-tetrahydroxy-6-methyl-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-3-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142997,"6-{[({[(6S,12aS)-4-(dimethylamino)-6,10,12,12a-tetrahydroxy-6-methyl-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-3-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143001,"6-{[({[(6S,12aS)-4-(dimethylamino)-6,10,12,12a-tetrahydroxy-6-methyl-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-4-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142987,"6-{[({[(6S,12aS)-4-(dimethylamino)-6,10,12,12a-tetrahydroxy-6-(hydroxymethyl)-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142978,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,4,6,10,12a-pentahydroxy-6-methyl-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142977,"6-{[({[(6S,12aS)-4-(dimethylamino)-4,6,10,12,12a-pentahydroxy-6-methyl-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142917,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-3-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142918,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-4-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142919,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-5-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142921,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,9,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142920,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,8,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142926,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,6,10,11a,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142929,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,4a,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142928,"6-{[({[(6S,12aS)-4-(dimethylamino)-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0142927,"6-{[({[(6R,12aS)-4-(dimethylamino)-3,5a,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,11a,12,12a-decahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143002,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,6,10,12a-tetrahydroxy-6-methyl-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-4-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143007,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,6,10,12a-tetrahydroxy-6-methyl-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-5-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143006,"6-{[({[(6S,12aS)-4-(dimethylamino)-6,10,12,12a-tetrahydroxy-6-methyl-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-amino-5-hydroxyhexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143108,"6-{[({[(6S,12aR)-4-(dimethylamino)-3,6,10,11a,12a-pentahydroxy-6-methyl-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
638.3085286,HMDB0143104,"6-{[({[(6S,12aS)-4-(dimethylamino)-2,6,10,12,12a-pentahydroxy-6-methyl-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracen-2-yl](hydroxy)methylidene}amino)methyl]amino}-2-aminohexanoic acid",n/a,C29H40N4O11,620.269358124,M+NH4,+,638.303181,8
