"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,7.2981,8,0.47883,0.31982,1,1,0
"Phenylalanine metabolism",10,9.1226,9,0.78339,0.10602,1,1,1
"Linoleic acid metabolism",5,4.5613,4,0.93594,0.028754,1,1,0
"Caffeine metabolism",10,9.1226,8,0.94988,0.022332,1,1,1
"D-Arginine and D-ornithine metabolism",4,3.649,3,0.95924,0.018071,1,1,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,3.649,3,0.95924,0.018071,1,1,1
"Riboflavin metabolism",4,3.649,2,0.99752,0.0010771,1,1,0.5
"D-Glutamine and D-glutamate metabolism",6,5.4735,3,0.99926,0.00032199,1,1,0
"Vitamin B6 metabolism",9,8.2103,5,0.99954,0.00019853,1,1,0.69608
"Synthesis and degradation of ketone bodies",5,4.5613,2,0.99973,0.00011515,1,1,0.6
"Arginine biosynthesis",14,12.772,8,0.99993,3.0416e-05,1,1,0.48223
"Ubiquinone and other terpenoid-quinone biosynthesis",9,8.2103,4,0.99997,1.2008e-05,1,1,0
"Taurine and hypotaurine metabolism",8,7.2981,3,0.99999,4.3133e-06,1,1,0.42857
"Nitrogen metabolism",6,5.4735,1,1,1.7893e-07,1,1,0
"Ascorbate and aldarate metabolism",8,7.2981,2,1,1.117e-07,1,1,0
"alpha-Linolenic acid metabolism",13,11.859,5,1,5.4928e-08,1,1,0.33333
"Thiamine metabolism",7,6.3858,1,1,1.5065e-08,1,1,0
"Arachidonic acid metabolism",36,32.841,21,1,3.6442e-09,1,1,0.52946
"Pantothenate and CoA biosynthesis",19,17.333,8,1,1.6787e-09,1,1,0.12143
"Biotin metabolism",10,9.1226,2,1,9.6795e-10,1,1,0.15
"Butanoate metabolism",15,13.684,5,1,7.0614e-10,1,1,0.14286
"Tryptophan metabolism",41,37.403,24,1,4.9312e-10,1,1,0.89328
"One carbon pool by folate",9,8.2103,1,1,1.0455e-10,1,1,0.79206
"Sphingolipid metabolism",21,19.157,8,1,2.5044e-11,1,1,0.10548
"Nicotinate and nicotinamide metabolism",15,13.684,4,1,2.0658e-11,1,1,0.33246
"Glycine, serine and threonine metabolism",33,30.105,16,1,4.6601e-12,1,1,0.63709
"Pentose and glucuronate interconversions",18,16.421,5,1,8.3062e-13,1,1,0.34374
"Tyrosine metabolism",42,38.315,22,1,7.0058e-13,1,1,0.57755
"Lysine degradation",25,22.806,9,1,1.0637e-13,1,1,0.31455
"Histidine metabolism",16,14.596,3,1,3.7995e-14,1,1,0.18852
"beta-Alanine metabolism",21,19.157,6,1,3.2112e-14,1,1,0.66418
"Terpenoid backbone biosynthesis",18,16.421,4,1,1.8997e-14,1,1,0.12381
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,12.772,1,1,3.8573e-16,1,1,0.00399
"Propanoate metabolism",23,20.982,6,1,2.893e-16,1,1,0.04822
"Alanine, aspartate and glutamate metabolism",28,25.543,9,1,1.4465e-16,1,1,0.18349
"Selenocompound metabolism",20,18.245,1,1,0,1,1,0
"N-Glycan biosynthesis",41,37.403,1,1,0,1,1,0
"Ether lipid metabolism",20,18.245,2,1,0,1,1,0
"Biosynthesis of unsaturated fatty acids",36,32.841,5,1,0,1,1,0
"Pentose phosphate pathway",22,20.07,2,1,0,1,1,0.00262
"Folate biosynthesis",27,24.631,3,1,0,1,1,0.00759
"Glycerolipid metabolism",16,14.596,1,1,0,1,1,0.01402
"Fatty acid biosynthesis",47,42.876,4,1,0,1,1,0.01473
"Fructose and mannose metabolism",20,18.245,3,1,0,1,1,0.03313
"Phosphatidylinositol signaling system",28,25.543,1,1,0,1,1,0.03736
"Drug metabolism - cytochrome P450",55,50.174,10,1,0,1,1,0.05797
"Fatty acid degradation",39,35.578,8,1,0,1,1,0.06441
"Galactose metabolism",27,24.631,5,1,0,1,1,0.08212
"Fatty acid elongation",39,35.578,7,1,0,1,1,0.09381
"Amino sugar and nucleotide sugar metabolism",37,33.754,7,1,0,1,1,0.09758
"Glutathione metabolism",28,25.543,4,1,0,1,1,0.09925
"Glycolysis / Gluconeogenesis",26,23.719,3,1,0,1,1,0.10149
"Drug metabolism - other enzymes",39,35.578,6,1,0,1,1,0.10869
"Citrate cycle (TCA cycle)",20,18.245,3,1,0,1,1,0.12319
"Valine, leucine and isoleucine degradation",40,36.49,11,1,0,1,1,0.12321
"Inositol phosphate metabolism",30,27.368,2,1,0,1,1,0.12939
"Purine metabolism",65,59.297,12,1,0,1,1,0.14133
"Glyoxylate and dicarboxylate metabolism",32,29.192,5,1,0,1,1,0.14815
"Steroid biosynthesis",42,38.315,3,1,0,1,1,0.14993
"Pyrimidine metabolism",39,35.578,10,1,0,1,1,0.1892
"Aminoacyl-tRNA biosynthesis",48,43.788,18,1,0,1,1,0.22223
"Pyruvate metabolism",22,20.07,3,1,0,1,1,0.26904
"Porphyrin and chlorophyll metabolism",30,27.368,7,1,0,1,1,0.27994
"Metabolism of xenobiotics by cytochrome P450",68,62.034,12,1,0,1,1,0.2908
"Glycerophospholipid metabolism",36,32.841,9,1,0,1,1,0.36185
"Primary bile acid biosynthesis",46,41.964,17,1,0,1,1,0.38275
"Steroid hormone biosynthesis",85,77.542,28,1,0,1,1,0.44212
"Cysteine and methionine metabolism",33,30.105,8,1,0,1,1,0.46154
"Arginine and proline metabolism",38,34.666,15,1,0,1,1,0.47812
