"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000123","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"HMDB0014691","Acetohydroxamic Acid","HMDB0014691","1990","C06808","CC(=O)NO","1"
"HMDB0031239","Ethyl nitrite","HMDB0031239","8026",NA,"CCON=O","1"
"HMDB0161401","NA","NA","NA","NA","NA","0"
"HMDB0000228","Phenol","HMDB0000228","996","C15584","C1=CC=C(C=C1)O","1"
"HMDB0062167","NA","NA","NA","NA","NA","0"
"HMDB0031545","2-Methyl-2-cyclopenten-1-one","HMDB0031545","14266",NA,"CC1=CCCC1=O","1"
"HMDB0032965","2,4-Dimethylfuran","HMDB0032965","19462",NA,"CC1=CC(=CO1)C","1"
"HMDB0040588","NA","NA","NA","NA","NA","0"
"HMDB0040587","NA","NA","NA","NA","NA","0"
"HMDB0033182","2,5-Dimethylfuran","HMDB0033182","12266",NA,"CC1=CC=C(O1)C","1"
"HMDB0031546","3-Methyl-2-cyclopenten-1-one","HMDB0031546","17691",NA,"CC1=CC(=O)CC1","1"
"HMDB0034729","(E,E)-2,4-Hexadienal","HMDB0034729","11829369",NA,"C/C=C/C=C\C=O","1"
"HMDB0001505","Benzene","HMDB0001505","241","C01407","C1=CC=CC=C1","1"
"HMDB0000294","Urea","HMDB0000294","2447","C00086","C(=O)(N)N","1"
"HMDB0062508","N-nitrosomethanamine","HMDB0062508","108081","C20306","CN=NO","1"
"HMDB0161203","NA","NA","NA","NA","NA","0"
"HMDB0175215","NA","NA","NA","NA","NA","0"
"HMDB0032230","2,4-Dimethyl-1,3-dioxolane","HMDB0032230","102993",NA,"CC1COC(O1)C","1"
"HMDB0033890","Methyl butyrate","HMDB0033890","12180",NA,"CCCC(=O)OC","1"
"HMDB0031241","Isopropyl acetate","HMDB0031241","7915",NA,"CC(C)OC(=O)C","1"
"HMDB0030058","Ethyl propionate","HMDB0030058","7749",NA,"CCC(=O)OCC","1"
"HMDB0040575","Butyl formate","HMDB0040575","11614",NA,"CCCCOC=O","1"
"HMDB0033742","(S)-2-Methylbutanoic acid","HMDB0033742","448893",NA,"CC[C@H](C)C(=O)O","1"
"HMDB0031247","2-Methylpropyl formate","HMDB0031247","10957",NA,"CC(C)COC=O","1"
"HMDB0039799","NA","NA","NA","NA","NA","0"
"HMDB0031175","Tetrahydro-2-furanmethanol","HMDB0031175","7360",NA,"C1CC(OC1)CO","1"
"HMDB0031516","3-Hydroxy-2-pentanone","HMDB0031516","62484",NA,"CCC(C(=O)C)O","1"
"HMDB0041992","NA","NA","NA","NA","NA","0"
"HMDB0059678","NA","NA","NA","NA","NA","0"
"HMDB0175214","NA","NA","NA","NA","NA","0"
"HMDB0175213","NA","NA","NA","NA","NA","0"
"HMDB0167011","NA","NA","NA","NA","NA","0"
"HMDB0167012","NA","NA","NA","NA","NA","0"
"HMDB0061989","NA","NA","NA","NA","NA","0"
"HMDB0002176","Ethylmethylacetic acid","HMDB0002176","8314","C18319","CCC(C)C(=O)O","1"
"HMDB0000718","Isovaleric acid","HMDB0000718","10430","C08262","CC(C)CC(=O)O","1"
"HMDB0031249","Methyl isobutyrate","HMDB0031249","11039",NA,"CC(C)C(=O)OC","1"
"HMDB0034237","Propyl acetate","HMDB0034237","7997",NA,"CCCOC(=O)C","1"
"HMDB0000892","Valeric acid","HMDB0000892","7991","C00803","CCCCC(=O)O","1"
"HMDB0031407","Cyclopentanone","HMDB0031407","8452","C00557","O=C1CCCC1","1"
"HMDB0031607","1-Penten-3-one","HMDB0031607","15394",NA,"CCC(=O)C=C","1"
"HMDB0031601","2-Pentenal","HMDB0031601","12365893",NA,"CC/C=C\C=O","1"
"HMDB0031606","4-Penten-2-one","HMDB0031606","83797",NA,"CC(=O)CC=C","1"
"HMDB0040584","NA","NA","NA","NA","NA","0"
"HMDB0031512","Tiglic aldehyde","HMDB0031512","6028462",NA,"C/C=C(/C)\C=O","1"
"HMDB0037788","xi-2,3-Dihydro-3-methylfuran","HMDB0037788","102677",NA,"CC1COC=C1","1"
"HMDB0012157","3-Methyl-2-butenal","HMDB0012157","61020","C15604","CC(=CC=O)C","1"
"HMDB0031530","3-Methyl-3-buten-2-one","HMDB0031530","13143",NA,"CC(=C)C(=O)C","1"
"HMDB0032458","4-Pentenal","HMDB0032458","16418",NA,"C=CCCC=O","1"
"HMDB0175216","NA","NA","NA","NA","NA","0"
"HMDB0001184","Methyl propenyl ketone","HMDB0001184","637920",NA,"C/C=C/C(=O)C","1"
"HMDB0031259","Neurine","HMDB0031259","10042",NA,"C[N+](C)(C)C=C.[OH-]","1"
"HMDB0059961","NA","NA","NA","NA","NA","0"
"HMDB0000097","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"HMDB0034301","Piperidine","HMDB0034301","8082","C01746","C1CCNCC1","1"
"HMDB0061977","NA","NA","NA","NA","NA","0"
"HMDB0062111","NA","NA","NA","NA","NA","0"
"HMDB0062165","NA","NA","NA","NA","NA","0"
"HMDB0059748","NA","NA","NA","NA","NA","0"
"HMDB0031212","Ethoxyacetic acid","HMDB0031212","12301",NA,"CCOCC(=O)O","1"
"HMDB0062640","3-hydroxy-2-isobutyrate","HMDB0062640","87","C01188","CC(CO)C(O)=O","1"
"HMDB0126088","NA","NA","NA","NA","NA","0"
"HMDB0000710","4-Hydroxybutyric acid","HMDB0000710","10413","C01991","C(CC(=O)O)CO","1"
"HMDB0000729","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(C(=O)O)O","1"
"HMDB0000442","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","C03197","C[C@@H](CC(=O)O)O","1"
"HMDB0000357","3-Hydroxybutyric acid","HMDB0000357","441","C01089","CC(CC(=O)O)O","1"
"HMDB0000011","(R)-3-Hydroxybutyric acid","HMDB0000011","92135","C01089","C[C@H](CC(=O)O)O","1"
"HMDB0000008","2-Hydroxybutyric acid","HMDB0000008","11266","C05984","CCC(C(=O)O)O","1"
"HMDB0165469","NA","NA","NA","NA","NA","0"
"HMDB0165470","NA","NA","NA","NA","NA","0"
"HMDB0000023","(S)-3-Hydroxyisobutyric acid","HMDB0000023","87","C06001","C[C@@H](CO)C(=O)O","1"
"HMDB0000336","(R)-3-Hydroxyisobutyric acid","HMDB0000336","11217234",NA,"C[C@H](CO)C(=O)O","1"
"HMDB0015507","Gamma Hydroxybutyric Acid","HMDB0015507","3037032","C00989","C(CC(=O)[O-])CO","1"
"HMDB0033977","Methyl acrylate","HMDB0033977","7294","C19443","COC(=O)C=C","1"
"HMDB0031209","Ethenyl acetate","HMDB0031209","7904","C19309","CC(=O)OC=C","1"
"HMDB0034439","Isocrotonic acid","HMDB0034439","643792",NA,"C/C=C\C(=O)O","1"
"HMDB0003407","Diacetyl","HMDB0003407","650","C00741","CC(=O)C(=O)C","1"
"HMDB0002523","Oxolan-3-one","HMDB0002523","529392",NA,"C1COCC1=O","1"
"HMDB0000549","Gamma-Butyrolactone","HMDB0000549","7302","C01770","C1CC(=O)OC1","1"
"HMDB0010720","But-2-enoic acid","HMDB0010720","637090","C01771","C/C=C/C(=O)O","1"
"HMDB0174868","NA","NA","NA","NA","NA","0"
"HMDB0167138","NA","NA","NA","NA","NA","0"
"HMDB0167139","NA","NA","NA","NA","NA","0"
"HMDB0000246","Tetrahydrofuran","HMDB0000246","8028",NA,"C1CCOC1","1"
"HMDB0171202","NA","NA","NA","NA","NA","0"
"HMDB0000474","Butanone","HMDB0000474","6569","C02845","CCC(=O)C","1"
"HMDB0003543","Butanal","HMDB0003543","261","C01412","CCCC=O","1"
"HMDB0034431","2,2-Dimethyloxirane","HMDB0034431","11208",NA,"CC1(CO1)C","1"
"HMDB0031324","3-Buten-1-ol","HMDB0031324","69389",NA,"C=CCCO","1"
"HMDB0033858","2-Buten-1-ol","HMDB0033858","643789",NA,"C/C=C\CO","1"
"HMDB0031243","2-Methylpropanal","HMDB0031243","6561","C03219","CC(C)C=O","1"
"HMDB0171604","NA","NA","NA","NA","NA","0"
"HMDB0171603","NA","NA","NA","NA","NA","0"
"HMDB0032231","Dimethylethanolamine","HMDB0032231","7902","C04308","CN(C)CCO","1"
"HMDB0001858","p-Cresol","HMDB0001858","2879","C01468","CC1=CC=C(C=C1)O","1"
"HMDB0033895","Anisole","HMDB0033895","7519","C01403","COC1=CC=CC=C1","1"
"HMDB0003119","Benzyl alcohol","HMDB0003119","244","C03485","C1=CC=C(C=C1)CO","1"
"HMDB0002055","o-Cresol","HMDB0002055","335","C01542","CC1=CC=CC=C1O","1"
"HMDB0002048","m-Cresol","HMDB0002048","342","C01467","CC1=CC(=CC=C1)O","1"
"HMDB0034168","Toluene","HMDB0034168","1140","C01455","CC1=CC=CC=C1","1"
"HMDB0061953","NA","NA","NA","NA","NA","0"
"HMDB0062096","NA","NA","NA","NA","NA","0"
"HMDB0040277","NA","NA","NA","NA","NA","0"
"HMDB0029728","2-Ethyl-5-methylfuran","HMDB0029728","74346",NA,"CCC1=CC=C(O1)C","1"
"HMDB0029721","2,3,5-Trimethylfuran","HMDB0029721","517859",NA,"CC1=CC(=C(O1)C)C","1"
"HMDB0031541","3-Methyl-2-cyclohexen-1-one","HMDB0031541","14511",NA,"CC1=CC(=O)CCC1","1"
"HMDB0040278","NA","NA","NA","NA","NA","0"
"HMDB0061891","NA","NA","NA","NA","NA","0"
"HMDB0037858","NA","NA","NA","NA","NA","0"
"HMDB0031163","N-Acetyl-2,3-dihydro-1H-pyrrole","HMDB0031163","10909522",NA,"CC(=O)N1CCC=C1","1"
"HMDB0031308","5-Acetyl-3,4-dihydro-2H-pyrrole","HMDB0031308","522834",NA,"CC(=O)C1=NCCC1","1"
"HMDB0037838","NA","NA","NA","NA","NA","0"
"HMDB0037859","NA","NA","NA","NA","NA","0"
"HMDB0039584","NA","NA","NA","NA","NA","0"
"HMDB0040148","NA","NA","NA","NA","NA","0"
"HMDB0037837","NA","NA","NA","NA","NA","0"
"HMDB0037863","NA","NA","NA","NA","NA","0"
"HMDB0240545","N-Methylpyridinium","HMDB0240545","13597","C02724","C[N+]1=CC=CC=C1","1"
"HMDB0061887","NA","NA","NA","NA","NA","0"
"HMDB0003012","Aniline","HMDB0003012","6115","C00292","C1=CC=C(C=C1)N","1"
"HMDB0061888","2-Methylpyridine","HMDB0061888","7975","C14447","CC1=CC=CC=N1","1"
"HMDB0004983","Dimethyl sulfone","HMDB0004983","6213","C11142","CS(=O)(=O)C","1"
"HMDB0187593","NA","NA","NA","NA","NA","0"
"HMDB0179338","NA","NA","NA","NA","NA","0"
"HMDB0179340","NA","NA","NA","NA","NA","0"
"HMDB0179339","NA","NA","NA","NA","NA","0"
"HMDB0179337","NA","NA","NA","NA","NA","0"
"HMDB0033569","Syoyualdehyde","HMDB0033569","12281547",NA,"C/C(=C/C=O)/C(=O)C","1"
"HMDB0001164","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","C04221","C1=C[C@H]([C@@H](C=C1)O)O","1"
"HMDB0031344","1,2-Cyclohexanedione","HMDB0031344","0","C06105","O=C1CCCCC1=O","1"
"HMDB0039778","NA","NA","NA","NA","NA","0"
"HMDB0034247","2-(Methoxymethyl)furan","HMDB0034247","61661",NA,"COCC1=CC=CO1","1"
"HMDB0040260","NA","NA","NA","NA","NA","0"
"HMDB0031759","(E)-4-Oxo-2-hexen-1-al","HMDB0031759","6365145",NA,"CCC(=O)/C=C/C=O","1"
"HMDB0031543","3-Methyl-1,2-cyclopentanedione","HMDB0031543","16211403",NA,"CC1CCC(=O)C1=O.CC1=C(C(=O)CC1)O","1"
"HMDB0032233","2,5-Dimethyl-3(2H)-furanone","HMDB0032233","85730",NA,"CC1C(=O)C=C(O1)C","1"
"HMDB0029581","(2E,4E)-2,4-Hexadienoic acid","HMDB0029581","643460",NA,"C/C=C/C=C/C(=O)O","1"
"HMDB0033112","Methylpyrazine","HMDB0033112","7976",NA,"CC1=NC=CN=C1","1"
"HMDB0144632","NA","NA","NA","NA","NA","0"
"HMDB0062140","NA","NA","NA","NA","NA","0"
"HMDB0034203","N-(2-Methylpropyl)acetamide","HMDB0034203","137071",NA,"CC(C)CNC(=O)C","1"
"HMDB0031651","N-(3-Methylbutyl)acetamide","HMDB0031651","98643",NA,"CC(C)CCNC(=O)C","1"
"HMDB0062041","NA","NA","NA","NA","NA","0"
"HMDB0012296","Trimethylaminoacetone","HMDB0012296","151806",NA,"CC(=O)C[N+](C)(C)C","1"
"HMDB0031404","Cyclohexylamine","HMDB0031404","7965","C00571","C1CCC(CC1)N","1"
"HMDB0032416","2-Methylpiperidine","HMDB0032416","7974",NA,"CC1CCCCN1","1"
"HMDB0031544","3-Methylcyclopentene","HMDB0031544","14263",NA,"CC1CCC=C1","1"
"HMDB0062716","NA","NA","NA","NA","NA","0"
"HMDB0033971","2-Diethylaminoethanol","HMDB0033971","7497",NA,"CCN(CC)CCO","1"
"HMDB0061148","NA","NA","NA","NA","NA","0"
"HMDB0061877","4-Amino-3-hydroxybutyrate","HMDB0061877","2149","C03678","NCC(O)CC(O)=O","1"
"HMDB0240310","NA","NA","NA","NA","NA","0"
"HMDB0159151","NA","NA","NA","NA","NA","0"
"HMDB0000167","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"HMDB0004041","L-Allothreonine","HMDB0004041","99289","C05519","C[C@@H]([C@@H](C(=O)O)N)O","1"
"HMDB0000719","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"HMDB0159152","NA","NA","NA","NA","NA","0"
"HMDB0060587","NA","NA","NA","NA","NA","0"
