"","metaboliteID","PC2","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",6,0.0238278768255104,76.0399767499882,76.039884417855,76.0404762518806,183.96599999998,169.10899999998,210.01200000002,9,0,4,3,11744.729236344,10972.1310239066,11226.8666238771,11278.4233552843,11369.3797117812,11606.3583070965,12014.5212573125,6415.09990543753,24389.107800293,6941.88719944563,33715.6034292324,7730.38519682456,27345.043274069,9304.79160262627,21878.8681088341,5390.27417281731,12784.1400226176,10410.9634302303,34388.7701126508,6509.80449946373,19040.8940890366,7059.87176618871,15072.4594796566,6304.79500099472,27289.1950647403,6180.8502156199,26367.9463484191
"2",7,0.0235364853666336,76.0765675224023,76.0763143254906,76.077186771747,83.75100000002,82.35299999998,87.07200000002,27,7,10,10,475305.5249525,479669.304320343,485139.801770077,493245.708396028,462013.243981846,452548.633496517,471781.102109107,130900.930768188,1512602.67537737,106336.857011259,1432280.26947017,71824.3752691335,1125016.7250023,27531.5780817344,892818.875655157,64834.6995081699,1297354.12976739,112846.879326992,1156406.55562249,69436.5312599584,1109380.66583423,118293.235032123,1555235.13261135,57523.9742213085,1182120.32822099,48192.2163529551,1099798.55247057
"3",10,0.0231124877600852,77.0796567175768,77.0793856339419,77.0801203796643,83.74800000002,82.35299999998,87.07200000002,17,7,5,5,14790.3238605194,15701.507261035,15457.231371254,15281.6663447824,13843.3694012187,14294.3449818004,14682.4437251004,4473.89110079175,45608.5091102648,3543.55080954383,42510.4618523792,2414.07754787552,33104.9877717706,759.215114247336,25569.6498683115,2037.61174197771,38318.4120314834,3571.58594022943,35606.6185952068,2223.90574958761,34041.5873009009,3958.45650739881,47254.0992784954,1820.53295640012,35979.4737400716,1483.16139261213,33610.0746535848
"4",25,0.0239544239650162,82.997275511269,82.9969964988858,82.9978463341266,60.56400000002,39.157,61.23099999998,29,7,10,10,68201.3962259491,56086.7184132891,55685.3268407135,62569.4713479556,61234.8072123589,65582.5931527993,63259.683225107,75242.5790191019,67464.1564934594,58863.3181602993,62101.7517798648,92694.5400317309,57502.6799848927,65903.2738446338,129238.886630149,56188.4415068974,59250.4141574619,85939.3626219146,90048.5529838147,60385.752861634,56749.3355274617,76828.8319020546,71769.3252696057,65894.4388897598,52669.0486197474,68015.7114978565,78918.3882238305
"5",41,0.0203751634802841,84.959664797561,84.9574879857493,84.9606427448381,61.28849999999,54.882,63.681,26,7,10,9,45729.5371076471,50928.4192422844,47808.9970321248,51703.9874216507,58691.580647591,75014.7426038152,41917.401040094,15736.8699716126,63788.2265008996,49692.872348435,55870.5130678133,83389.9061399959,70823.2498952067,62630.0040186941,174722.574494934,88524.9117294322,48908.8574939031,69859.4200019644,51178.2421085568,31805.1033677971,52057.6442709582,66913.3705491858,46778.854396577,49367.8677518956,113740.519421592,85004.808490372,39337.6950042937
"6",42,0.0235434394202791,85.0290875330184,85.0288273578551,85.0297194749369,84.54250000001,83.348,114.45900000002,28,7,10,10,94243.3234114694,95511.0963830111,94984.680393453,90457.9837312391,88742.2836237344,91168.1375744287,90029.0154826788,55258.558087412,94607.0958784455,72744.6986999139,101081.336980962,130893.577341855,68760.124394247,67033.4048465776,150128.270719791,57843.947634402,68727.107091417,112905.62704143,83810.1897828441,73146.5990812219,71308.4805648286,66252.1596477068,74192.5743508512,104316.823853264,105255.486259304,76513.0615115185,70213.8573870926
"7",54,0.0201989676488662,89.5072931913414,89.5069945588932,89.5078165438922,60.56400000002,59.89800000002,61.23599999998,27,7,10,10,59101.991163846,50470.3744338842,49622.3031673778,48034.5121902655,49928.4568595093,59712.7517264916,42546.7264547463,64633.6060236476,46374.9626969217,48248.5049863111,44933.2495976016,66427.8961113677,48030.3222739409,45975.4196354542,90495.7077768018,44547.728884716,46375.7899045053,71131.5259365821,83357.1196130926,43945.8631972896,44554.4080572326,53105.2425342074,54741.2333934371,39715.5007750561,52690.1868437919,45357.8362153996,41119.2503967521
"8",82,0.0224654931185725,97.0288037744464,97.0284397465894,97.0298477324122,84.535,83.348,87.84899999998,27,7,10,10,25918.096747097,27102.7817161417,24759.0295366227,25779.9611543111,26538.8730178255,25988.6705615929,24953.7545845467,15967.9292408415,26772.2912483397,20727.7702376041,28386.1344657408,37330.4035443179,16383.1162870003,20249.0712212706,40947.150927454,15739.4285729516,20844.3591238547,32051.7307072731,22739.5314019539,20373.7896662662,20314.6822497558,18252.6564338409,21939.7849560167,29276.2596655955,27451.7213427735,21987.8819191809,18448.0282198518
"9",83,0.0216620676977888,97.9697462005821,97.9691594519727,97.970174002496,60.56400000002,58.349,61.88699999998,27,7,10,10,53741.9002452292,38548.1536865427,39365.6302050327,35870.3667713996,45235.14637356,43520.9429553051,40085.0681129925,53885.4439182808,54150.8262744466,38917.5877184002,55081.2793132838,63914.2057673995,42981.2807897826,38704.3358298551,82283.0417028198,35863.8968028689,48740.2678368836,70613.8923673045,63385.0546413929,41818.891293215,38009.5028157917,43502.8224913169,39170.0321060309,34626.8740797887,31652.0077356124,41298.5180022226,35007.4277362976
"10",116,0.0235913217751719,104.070775740923,104.070404553359,104.071401883914,84.56299999999,83.174,88.551,26,7,9,10,52994.0951533079,55877.4271423646,57016.6262825348,57796.4969452942,53488.6674910789,53601.242553149,57888.5763567561,17640.5405252096,22518.7484152483,37137.0826696847,25278.3982645317,17652.5804226355,19952.2459194284,33052.6459710512,816171.745571482,75299.2760710938,38815.8113739014,17578.2637512219,24997.9013414786,36250.768533371,29173.939008491,45813.3440233489,30266.632470217,25925.7071281433,25593.8837850307,17423.9734214979,20132.6435766624
