"","metaboliteID","PC2","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",3,-0.0299446995072214,76.0401304342836,76.0399363499243,76.0406235215985,627.41299999998,627.374,628.70999999998,27,7,10,10,110146.898611821,108094.890688711,111369.799172685,110022.42613283,112212.613986733,110310.570817633,112792.061620433,131770.737173302,93776.3298142093,158712.2177838,104445.328320315,107558.427986645,79169.8141351566,119637.351391006,28185.4197850375,128270.624826391,154966.869494257,141726.508196803,61047.7998694856,157474.01078364,116748.548986749,178674.553161079,161283.759915499,142939.584073055,102884.565249531,168009.556796371,59174.3257820524
"2",4,-0.0212675419459062,76.0401171638909,76.039832700988,76.0407360364429,498.02249999999,497.29699999998,498.54500000002,26,7,9,10,25275.0306854553,21058.7408005039,18686.8932364709,19498.4302375863,18814.7046933537,19286.3002630128,20203.6304420984,23401.9658883225,33184.5729962542,31531.3410311009,34106.0863256696,16594.5546372159,25273.9640248372,21934.9531239611,9715.06935350783,23409.4259629141,17053.3879819094,18921.751130381,21245.5890728795,29365.9193474577,23249.8687179491,32419.1516907654,21220.5241852898,22012.5784838151,20355.2558953551,18534.6177871616,21302.1649492893
"3",5,-0.0222878011484486,76.0401019500117,76.0396347167144,76.0405891304586,132.67200000002,132.53800000002,148.596,26,6,10,10,22105.8362828001,21317.8052068846,24136.5204326547,22837.7826769761,19224.7809269926,18892.9556007209,20324.3732053978,22124.441702297,23338.8877004238,25198.6663745312,19790.0812705994,25620.309719374,26637.4122913161,24737.2376705439,15806.9484984389,25701.063095803,19157.836666343,24475.3666380802,23415.7135085335,22163.2324798718,19522.7772599478,25962.2268194001,18145.8072514553,24292.6513618257,24022.7953302986,21947.8767624735,19975.8684796147
"4",8,-0.0293720709057457,77.0392412987738,77.038866005969,77.0396849695528,355.97700000002,355.29599999998,356.64400000002,22,7,6,9,11523.4641030488,11705.4167104011,12010.3273776952,11698.6072391292,11886.2131694786,13085.3763277134,11714.2989263337,9725.0171947646,10653.1463185884,15385.717619851,11266.9254409748,7463.41384031132,11487.0994399013,15210.0236861129,5374.06312688931,20338.3832885325,11621.1600734279,8085.49296703679,11228.0431264737,13676.6279264365,11220.3640943191,16229.5597611039,11145.0399039406,14021.8827647191,11037.3626707929,11364.977741333,12216.965369519
"5",14,-0.0314292975902892,79.0549498482224,79.0545897996775,79.0555782477029,355.97499999998,355.222,356.016,27,7,10,10,55209.3512155204,55741.7160961955,55245.6221825775,57090.3319210598,59979.3364438806,59814.1555685632,60332.1519679907,41644.9287255196,50766.7012856546,73191.2433841872,49472.4926086714,36733.3953988367,51732.2483511895,71492.8870064206,13980.0272884094,90366.1663302442,54300.3287305005,39212.9884396509,53203.8416543356,68535.9680401758,50888.9906025879,77190.033674541,47049.8674629182,65027.3630264831,50753.8424846191,47912.0182279559,54546.6551443699
"6",15,-0.0212919921432418,80.9486959256677,80.9484397056391,80.9492781604813,79.34000000002,78.392,84.73199999998,27,7,10,10,588203.11743233,587611.287386997,598238.398691965,584657.980783131,569026.79759804,578629.723475575,584614.035857619,711031.583155558,598243.690281677,575830.582478241,619484.771655921,578745.207261073,596583.772718571,447325.281803015,73450.0253548086,572041.497809403,640694.35083328,635873.480481784,616295.933230441,595602.375381861,635120.380236097,594067.896673328,643783.800025184,533761.776806358,618808.975128187,698848.088919847,619514.18052275
"7",23,-0.0218105777947719,82.945612325459,82.9453268410701,82.9461914905934,79.34000000002,78.392,85.50799999998,27,7,10,10,177024.998969232,176536.769121757,179190.017536518,177746.827668121,171308.640528096,172759.179822692,174389.188470918,213765.140231424,177728.920682643,173355.088106805,187501.190928416,174463.122177497,178253.449744639,137688.692591979,27320.6481146102,174751.437256573,192851.021861281,194543.773084841,182983.843431808,179773.012325761,190926.145573474,180662.631007435,194335.683665282,164509.778432758,185291.634847126,206058.404246134,188132.173176181
"8",26,-0.0317803292181383,83.0222717748225,83.0218454759197,83.0228680467202,85.12699999998,84.01500000002,85.47900000002,12,2,5,5,38175.8342481996,40158.7647860538,39209.8716133442,41380.4945556126,36746.6365165849,39061.3345162209,42431.2797668722,53667.6722345018,47339.6181496263,59005.7432145708,46370.4684607607,30179.2993616204,45681.0767450073,45118.5046014545,12421.55173485,60964.3581451643,44722.6263968506,32703.4537459936,43662.1037732225,58304.834422113,33688.414275401,60125.6710359685,49630.0011550352,44859.2964871283,31069.2625275515,48803.6521118064,40147.4891803414
"9",44,-0.0206058902578523,85.0653056313044,85.0649964859433,85.0659870617365,586.1655,584.64799999998,588.91400000002,20,6,5,9,16269.0721543538,14180.3087761628,14011.2539277396,14174.5676665885,14201.4667755828,13947.1580822609,14410.348765755,13580.8868567157,13467.8110788129,13923.6827984425,18248.7418829652,11768.0490585669,14122.3036773816,11405.2569994505,2926.26090668774,13979.9646233667,16284.7213990696,12926.9965111647,15018.8852173494,16002.7897006521,19186.9296079858,16284.7967115427,17551.5506935098,16981.9748375444,17661.8737641512,15867.5741451673,13140.4745288209
"10",48,-0.0215866634453962,86.097204897118,86.0968447189545,86.0977595777731,183.5255,170.95900000002,205.627,54,7,10,10,9201852.56184357,9110891.35048304,9218207.98093014,9291240.81271067,21926712.6277391,9461208.4102007,9281955.88809592,7352729.6149981,9453052.66600619,26762218.3870994,8181734.9588106,6486996.54479598,20727068.2733213,22463760.1279039,2613565.26317586,28592420.907131,9563605.08910456,6623669.4213147,9623634.38422489,10943736.9238317,9567359.19414624,15402112.0741062,21004461.9539781,21628933.3588897,9633523.99807652,12184431.2891853,9218251.12932199
