"","metaboliteID","PC2","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",6,0.0225103766127715,76.0399767499882,76.039884417855,76.0404762518806,183.96599999998,169.10899999998,210.01200000002,9,0,4,3,11744.729236344,10972.1310239066,11226.8666238771,11278.4233552843,11369.3797117812,11606.3583070965,12014.5212573125,6415.09990543753,24389.107800293,6941.88719944563,33715.6034292324,7730.38519682456,27345.043274069,9304.79160262627,21878.8681088341,5390.27417281731,12784.1400226176,10410.9634302303,34388.7701126508,6509.80449946373,19040.8940890366,7059.87176618871,15072.4594796566,6304.79500099472,27289.1950647403,6180.8502156199,26367.9463484191
"2",7,0.0226736678234764,76.0765675224023,76.0763143254906,76.077186771747,83.75100000002,82.35299999998,87.07200000002,27,7,10,10,475305.5249525,479669.304320343,485139.801770077,493245.708396028,462013.243981846,452548.633496517,471781.102109107,130900.930768188,1512602.67537737,106336.857011259,1432280.26947017,71824.3752691335,1125016.7250023,27531.5780817344,892818.875655157,64834.6995081699,1297354.12976739,112846.879326992,1156406.55562249,69436.5312599584,1109380.66583423,118293.235032123,1555235.13261135,57523.9742213085,1182120.32822099,48192.2163529551,1099798.55247057
"3",10,0.0222686353403252,77.0796567175768,77.0793856339419,77.0801203796643,83.74800000002,82.35299999998,87.07200000002,17,7,5,5,14790.3238605194,15701.507261035,15457.231371254,15281.6663447824,13843.3694012187,14294.3449818004,14682.4437251004,4473.89110079175,45608.5091102648,3543.55080954383,42510.4618523792,2414.07754787552,33104.9877717706,759.215114247336,25569.6498683115,2037.61174197771,38318.4120314834,3571.58594022943,35606.6185952068,2223.90574958761,34041.5873009009,3958.45650739881,47254.0992784954,1820.53295640012,35979.4737400716,1483.16139261213,33610.0746535848
"4",25,0.0212108685024978,82.997275511269,82.9969964988858,82.9978463341266,60.56400000002,39.157,61.23099999998,29,7,10,10,68201.3962259491,56086.7184132891,55685.3268407135,62569.4713479556,61234.8072123589,65582.5931527993,63259.683225107,75242.5790191019,67464.1564934594,58863.3181602993,62101.7517798648,92694.5400317309,57502.6799848927,65903.2738446338,129238.886630149,56188.4415068974,59250.4141574619,85939.3626219146,90048.5529838147,60385.752861634,56749.3355274617,76828.8319020546,71769.3252696057,65894.4388897598,52669.0486197474,68015.7114978565,78918.3882238305
"5",42,0.0212885092795782,85.0290875330184,85.0288273578551,85.0297194749369,84.54250000001,83.348,114.45900000002,28,7,10,10,94243.3234114694,95511.0963830111,94984.680393453,90457.9837312391,88742.2836237344,91168.1375744287,90029.0154826788,55258.558087412,94607.0958784455,72744.6986999139,101081.336980962,130893.577341855,68760.124394247,67033.4048465776,150128.270719791,57843.947634402,68727.107091417,112905.62704143,83810.1897828441,73146.5990812219,71308.4805648286,66252.1596477068,74192.5743508512,104316.823853264,105255.486259304,76513.0615115185,70213.8573870926
"6",82,0.0202693237539628,97.0288037744464,97.0284397465894,97.0298477324122,84.535,83.348,87.84899999998,27,7,10,10,25918.096747097,27102.7817161417,24759.0295366227,25779.9611543111,26538.8730178255,25988.6705615929,24953.7545845467,15967.9292408415,26772.2912483397,20727.7702376041,28386.1344657408,37330.4035443179,16383.1162870003,20249.0712212706,40947.150927454,15739.4285729516,20844.3591238547,32051.7307072731,22739.5314019539,20373.7896662662,20314.6822497558,18252.6564338409,21939.7849560167,29276.2596655955,27451.7213427735,21987.8819191809,18448.0282198518
"7",116,0.0218288218654999,104.070775740923,104.070404553359,104.071401883914,84.56299999999,83.174,88.551,26,7,9,10,52994.0951533079,55877.4271423646,57016.6262825348,57796.4969452942,53488.6674910789,53601.242553149,57888.5763567561,17640.5405252096,22518.7484152483,37137.0826696847,25278.3982645317,17652.5804226355,19952.2459194284,33052.6459710512,816171.745571482,75299.2760710938,38815.8113739014,17578.2637512219,24997.9013414786,36250.768533371,29173.939008491,45813.3440233489,30266.632470217,25925.7071281433,25593.8837850307,17423.9734214979,20132.6435766624
"8",135,0.0202713355371988,109.028514806628,109.028073234511,109.029264609236,84.55000000002,83.348,87.84899999998,11,4,4,3,9388.65216992446,7959.705872419,8423.87456663005,8835.76769565329,9314.2549831065,8583.09563636271,9075.66786773759,6766.74623270719,7571.27092539328,7763.13490614251,8495.04579733098,11823.6313229303,7848.01406527704,6885.77202219028,13659.1758893637,5541.20865550734,7278.46363642137,8627.75914319866,8816.01975238979,8323.79987667034,7838.84269158597,7529.14410477517,7618.17556298143,10960.2246159258,10728.4566859312,6681.96827113267,7543.68623178882
"9",181,0.0228573149805093,118.050111910401,118.049382235136,118.05089636901,95.7595,94.33500000002,108.579,26,6,9,10,12888.6982548139,12788.5830038589,14385.8177238126,15730.7240070894,12167.8539473267,1168514.24256195,14505.6177841709,21340.0022284481,14540.5249090984,19982.8434817998,14165.9643975508,21842.490277653,18448.9151588822,14909.4711261139,1271714.05336767,17354.5446644084,11343.6798016894,15737.5944098412,16959.5624371994,21337.2954229248,12644.5570880166,19978.9495100264,8245.81683906072,22509.5215047361,11173.3771983287,19781.7158072019,12701.8008008713
"10",260,0.0237402748635397,124.086904499696,124.086653246148,124.087674550284,1294.881,1281.56300000002,1296.187,27,7,9,9,434366.232247585,464222.724028674,494292.672099998,533866.773235976,528310.144767398,530994.53857244,506812.773577595,483056.503747599,525739.384855294,394856.027875806,476745.27102076,397964.308658034,623980.964047584,494019.411484372,525543.305578698,395918.627528296,512483.971977035,419150.144720866,538321.622396615,410568.528663986,495832.402196928,406391.767310352,505036.076177626,424679.482238878,469108.929822736,460991.732275196,604157.475296119
