query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
443.1888361,HMDB0015354,Aminophylline,n/a,C16H24N10O4,420.198199306,M+Na,+,443.187417,3
443.1888361,HMDB0010366,Hyaluronan,n/a,C16H27NO12,425.153325313,M+NH4,+,443.187148,4
443.1888361,HMDB0061300,4-[(1E)-3-{4-[bis(4-fluorophenyl)methyl]piperazin-1-yl}prop-1-en-1-yl]phenol,n/a,C26H26F2N2O,420.201319874,M+Na,+,443.190538,4
443.1888361,HMDB0060932,"N-Desmethyl sildenafil (UK-103,320)",n/a,C21H28N6O4S,460.189274104,M+H-H2O,+,443.186574,5
443.1888361,HMDB0181876,"6-({4,6-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-7-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181865,"6-({4,6-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-8a-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181867,"6-({4,8a-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-6-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181870,"6-({4,6-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-8-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181877,"6-({6,7-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181878,"6-({4,7-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-6-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181844,"3,4,5-trihydroxy-6-{[4-hydroxy-4a-(hydroxymethyl)-3,5-dimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-6-yl]oxy}oxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181871,"6-({6,8-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181866,"6-({6,8a-dihydroxy-3,4a,5-trimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181860,"3,4,5-trihydroxy-6-{[6-hydroxy-3-(hydroxymethyl)-4a,5-dimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4-yl]oxy}oxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0178480,"3,4,5-trihydroxy-6-({6-hydroxy-3,5a-dimethyl-9-methylidene-2-oxo-dodecahydronaphtho[1,2-b]furan-9a-yl}oxy)oxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0165062,"6-{[1-(furan-3-yl)-4,8-dimethyl-1,6-dioxononan-4-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0182986,"6-({3-formyl-2,2a-dihydroxy-6,6,7b-trimethyl-1H,2H,2aH,4aH,5H,6H,7H,7aH,7bH-cyclobuta[e]inden-4a-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181843,"3,4,5-trihydroxy-6-{[6-hydroxy-4a-(hydroxymethyl)-3,5-dimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4-yl]oxy}oxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
443.1888361,HMDB0181842,"6-({4,6-dihydroxy-3,5-dimethyl-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-b]furan-4a-yl}methoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C21H30O10,442.183897166,M+H,+,443.191173,5
