query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
225.1851681,HMDB0038259,Neryl butyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0032342,Isobornyl isobutyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0032053,alpha-Terpineol butanoate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0030427,Linalyl butyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0038260,Geranyl 2-methylpropanoate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0038246,Bornyl butyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0036424,Allyl undecylenate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0037814,2-Propenyl cyclohexanepentanoate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0032524,Terpinyl isobutyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0031015,"Ethyl (2E,6Z)-dodecadienoate",n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0030426,Linalyl isobutyrate,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0000560,Goshuyic acid,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0039129,Goshuyic acid,n/a,C14H24O2,224.177630012,M+H,+,225.184906,1
225.1851681,HMDB0159801,SCHEMBL15752078,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159802,14-hydroxy-5Z-tetradecenoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0176319,13-hydroxy-3-oxotetradecanal,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0176320,14-hydroxy-3-oxotetradecanal,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159803,(5Z)-2-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159799,(5Z)-7-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159800,(5Z)-4-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0030982,6-Ketomyristic acid,n/a,C14H26O3,242.188194698,M+H-H2O,+,225.185495,1
225.1851681,HMDB0010730,3-Oxotetradecanoic acid,n/a,C14H26O3,242.188194698,M+H-H2O,+,225.185495,1
225.1851681,HMDB0032370,"L-Menthyl (R,S)-3-hydroxybutyrate",n/a,C14H26O3,242.188194698,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159614,(5E)-2-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159613,(5E)-14-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159611,(5E)-13-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159610,(5E)-4-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159612,4-(3-octyloxiran-2-yl)butanoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0159609,(5E)-7-hydroxytetradec-5-enoic acid,n/a,C14H26O3,242.188194697,M+H-H2O,+,225.185495,1
225.1851681,HMDB0168123,"1,12-Dodecanediol",n/a,C12H26O2,202.193280077,M+Na,+,225.182498,12
225.1851681,HMDB0032153,Acetaldehyde diisoamyl acetal,n/a,C12H26O2,202.193280076,M+Na,+,225.182498,12
225.1851681,HMDB0037310,"1,1-Dimethoxydecane",n/a,C12H26O2,202.193280076,M+Na,+,225.182498,12
225.1851681,HMDB0168122,80158-99-2,n/a,C12H26O2,202.193280077,M+Na,+,225.182498,12
311.1263353,HMDB0039044,Ethylsuberenol,n/a,C17H20O4,288.136159128,M+Na,+,311.125377,3
311.1263353,HMDB0131544,"5,7-dihydroxy-8-(3-methylbut-2-en-1-yl)-4-propyl-2H-chromen-2-one",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0153683,"4-(1-hydroxy-3-phenylpropyl)-5-methoxy-2-methylbenzene-1,3-diol",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0134716,8-hydroxy-2-methyl-2-(4-methylpent-3-en-1-yl)-2H-chromene-5-carboxylic acid,n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0131577,"5,7-dihydroxy-6-(3-methylbut-2-en-1-yl)-4-propyl-2H-chromen-2-one",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0140842,"2-(1-hydroxy-3-phenylpropyl)-3,5-dimethoxyphenol",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0039858,Angeloylsenkyunolide F,n/a,C17H20O4,288.136159128,M+Na,+,311.125377,3
311.1263353,HMDB0150310,"2-(4-hydroxyphenyl)-1-(4-methoxyphenyl)butane-1,3-diol",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0150311,"1-(4-hydroxyphenyl)-2-(4-methoxyphenyl)butane-1,3-diol",n/a,C17H20O4,288.136159124,M+Na,+,311.125377,3
311.1263353,HMDB0030019,4'-Methoxymucidin,n/a,C17H20O4,288.136159128,M+Na,+,311.125377,3
311.1263353,HMDB0138951,"5-[(E)-2-{4-hydroxy-3-[(1E)-4-hydroxy-3-methylidenebut-1-en-1-yl]phenyl}ethenyl]benzene-1,3-diol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0138955,"4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-6-[(1E)-3-methylbuta-1,3-dien-1-yl]benzene-1,3-diol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0141056,"(6E)-5-hydroxy-1,7-bis(4-hydroxyphenyl)hepta-1,6-dien-3-one",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0138952,"4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-2-[(1E)-3-methylbuta-1,3-dien-1-yl]benzene-1,3-diol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0129039,"5-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-2-[(1E)-3-methylbuta-1,3-dien-1-yl]benzene-1,3-diol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0138953,"6-[(E)-2-{4-hydroxy-3-[(1E)-3-methylbuta-1,3-dien-1-yl]phenyl}ethenyl]benzene-1,2,4-triol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
311.1263353,HMDB0138954,"5-[(E)-2-{4-hydroxy-3-[(1E)-3-methylbuta-1,3-dien-1-yl]phenyl}ethenyl]benzene-1,2,3-triol",n/a,C19H18O4,310.12050906,M+H,+,311.127785,5
