"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0008680","PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008680","53479323","C00157","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0008681","PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0008681","53479325","C00157","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0008713","PC(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008713","53479389","C00157","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"HMDB0008714","PC(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0008714","53479391","C00157","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0008745","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0008745","52923727","C00157","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"HMDB0008649","PC(22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008649","52923669","C00157","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0009607","PE(22:4(7Z,10Z,13Z,16Z)/24:1(15Z))","HMDB0009607","53479904","C00350","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"HMDB0009640","PE(22:5(4Z,7Z,10Z,13Z,16Z)/24:0)","HMDB0009640","53479936","C00350","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"HMDB0009673","PE(22:5(7Z,10Z,13Z,16Z,19Z)/24:0)","HMDB0009673","53479969","C00350","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"HMDB0009736","PE(24:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0009736","53480008","C00350","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0009737","PE(24:0/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0009737","53480009","C00350","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0009768","PE(24:1(15Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0009768","53480040","C00350","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0114516","NA","NA","NA","NA","NA","0"
"HMDB0116719","NA","NA","NA","NA","NA","0"
"HMDB0114568","NA","NA","NA","NA","NA","0"
"HMDB0114460","NA","NA","NA","NA","NA","0"
"HMDB0114623","NA","NA","NA","NA","NA","0"
"HMDB0114648","NA","NA","NA","NA","NA","0"
"HMDB0114649","NA","NA","NA","NA","NA","0"
"HMDB0116714","NA","NA","NA","NA","NA","0"
"HMDB0114434","NA","NA","NA","NA","NA","0"
"HMDB0114351","NA","NA","NA","NA","NA","0"
"HMDB0114380","NA","NA","NA","NA","NA","0"
"HMDB0114408","NA","NA","NA","NA","NA","0"
