"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0172136","NA","NA","NA","NA","NA","0"
"HMDB0165770","NA","NA","NA","NA","NA","0"
"HMDB0165771","NA","NA","NA","NA","NA","0"
"HMDB0165773","NA","NA","NA","NA","NA","0"
"HMDB0172134","NA","NA","NA","NA","NA","0"
"HMDB0172135","NA","NA","NA","NA","NA","0"
"HMDB0240308","NA","NA","NA","NA","NA","0"
"HMDB0165772","NA","NA","NA","NA","NA","0"
"HMDB0029737","1H-Indole-3-carboxaldehyde","HMDB0029737","10256","C08493","C1=CC=C2C(=C1)C(=CN2)C=O","1"
"HMDB0004186","3-Methyldioxyindole","HMDB0004186","151066","C05834","CC1(C2=CC=CC=C2NC1=O)O","1"
"HMDB0001424","4-(3-Pyridyl)-3-butenoic acid","HMDB0001424","5478892",NA,"C1=CC(=CN=C1)/C=C/CC(=O)O","1"
"HMDB0062406","NA","NA","NA","NA","NA","0"
"HMDB0029300","p-Anisidine","HMDB0029300","7732","C19326","COC1=CC=C(C=C1)N","1"
"HMDB0167379","NA","NA","NA","NA","NA","0"
"HMDB0032578","4-Hydroxybenzylamine","HMDB0032578","97472",NA,"C1=CC(=CC=C1CN)O","1"
"HMDB0040360","NA","NA","NA","NA","NA","0"
"HMDB0036058","NA","NA","NA","NA","NA","0"
"HMDB0167378","NA","NA","NA","NA","NA","0"
"HMDB0032492","2-Propionylpyrrole","HMDB0032492","61260",NA,"CCC(=O)C1=CC=CN1","1"
"HMDB0240327","NA","NA","NA","NA","NA","0"
"HMDB0159478","NA","NA","NA","NA","NA","0"
"HMDB0159477","NA","NA","NA","NA","NA","0"
"HMDB0158747","NA","NA","NA","NA","NA","0"
"HMDB0158748","NA","NA","NA","NA","NA","0"
"HMDB0158745","NA","NA","NA","NA","NA","0"
"HMDB0158746","NA","NA","NA","NA","NA","0"
"HMDB0159480","NA","NA","NA","NA","NA","0"
"HMDB0159479","NA","NA","NA","NA","NA","0"
"HMDB0161124","NA","NA","NA","NA","NA","0"
"HMDB0161123","NA","NA","NA","NA","NA","0"
"HMDB0161125","NA","NA","NA","NA","NA","0"
"HMDB0155922","NA","NA","NA","NA","NA","0"
"HMDB0061930","NA","NA","NA","NA","NA","0"
"HMDB0033837","Dimethyl succinate","HMDB0033837","7820",NA,"COC(=O)CCC(=O)OC","1"
"HMDB0006900","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","C06006","CC[C@](C(=O)C)(C(=O)O)O","1"
"HMDB0002173","Solerol","HMDB0002173","21252275",NA,"C1CC(=O)OCC(C1O)O","1"
"HMDB0002074","2,2-Dimethylsuccinic acid","HMDB0002074","11701",NA,"CC(C)(CC(=O)O)C(=O)O","1"
"HMDB0000858","Monomethyl glutaric acid","HMDB0000858","73917","C02930","COC(=O)CCCC(=O)O","1"
"HMDB0000752","Methylglutaric acid","HMDB0000752","12284",NA,"CC(CC(=O)O)CC(=O)O","1"
"HMDB0000422","2-Methylglutaric acid","HMDB0000422","12046",NA,"CC(CCC(=O)O)C(=O)O","1"
"HMDB0000448","Adipic acid","HMDB0000448","196","C06104","C(CCC(=O)O)CC(=O)O","1"
"HMDB0062489","NA","NA","NA","NA","NA","0"
"HMDB0010207","L-Rhamnulose","HMDB0010207","439330","C00861","C[C@@H]([C@H]([C@@H](C(=O)CO)O)O)O","1"
"HMDB0033821","2-O-Methyl-D-xylose","HMDB0033821","560157",NA,"COC1C(O)OC(CO)C1O","1"
"HMDB0062477","NA","NA","NA","NA","NA","0"
"HMDB0062498","NA","NA","NA","NA","NA","0"
"HMDB0062499","NA","NA","NA","NA","NA","0"
"HMDB0060267","L-Fuculose","HMDB0060267","6857362","C01721","[H][C@@](C)(O)[C@@]([H])(O)[C@@]([H])(O)C(=O)CO","1"
"HMDB0005876","3-Deoxyfructose","HMDB0005876","3080627",NA,"C([C@@H]([C@@H](CO)O)O)C(=O)CO","1"
"HMDB0012327","2-Deoxygalactopyranose","HMDB0012327","439804","C02781","C1[C@H]([C@H]([C@H](OC1O)CO)O)O","1"
"HMDB0002712","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O","1"
