metaboliteID,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,QC,Unvaccinated,Vaccinated,Minipig_Pooled_QC1,Minipig_Pooled_QC2,Minipig_Pooled_QC3,Minipig_Pooled_QC4,Minipig_Pooled_QC5,Minipig_Pooled_QC6,Minipig_Pooled_QC7,Minipig_3273_12wks,Minipig_3273_30DPI,Minipig_4754_12wks,Minipig_4754_30DPI,Minipig_7488_12wks,Minipig_7488_30DPI,Minipig_7554_12wks,Minipig_7554_30DPI,Minipig_9739_12wks,Minipig_9739_30DPI,Minipig_1817_12wks,Minipig_1817_30DPI,Minipig_4515_12wks,Minipig_4515_30DPI,Minipig_5273_12wks,Minipig_5273_30DPI,Minipig_6059_12wks,Minipig_6059_30DPI,Minipig_9947_12wks,Minipig_9947_30DPI
1791,443.1888361,443.1867777,443.1901358,659.4395,658.951,660.051,20,7,6,7,12574.00604,12201.17086,9483.136566,11831.96936,12515.88406,9339.278581,13427.48489,5016.44308,5532.618237,16558.5884,13816.47762,6654.14976,5693.011979,13975.57886,4934.189874,16294.74385,20471.99871,4699.726948,5797.962744,10323.22777,18293.6056,14109.82784,14027.82733,18458.19509,19977.68785,5296.350129,8878.242728
1794,443.5224343,443.5217519,443.5249368,659.497,658.951,660.051,15,5,5,5,8421.1437,7893.003886,5910.496467,8132.516977,9124.628427,6140.17951,8442.928275,3305.727993,3423.191688,11055.80236,9636.400908,4656.255023,3603.147464,8366.61551,3553.727397,10152.49324,13775.33319,3078.328975,3898.942158,6608.98862,11930.7997,7978.601309,9942.172074,12481.37015,13416.0278,3136.368207,5390.428692
3049,645.3053634,645.3039638,645.3071525,659.389,658.951,660.025,27,7,10,10,367031.4939,349180.9025,351920.8544,339800.9233,337398.4743,336583.3847,331866.1155,111404.1309,130930.8269,546613.6941,415540.7522,151938.3284,105985.907,301803.4389,87633.049,460184.9022,627341.4557,115847.5417,138787.0259,353034.1387,550995.5154,480670.6516,433585.8077,581664.5786,666875.2254,169726.3844,175718.006
3054,645.8070125,645.8053285,645.8085039,659.388,658.951,659.919,27,7,10,10,241999.439,226507.4963,230784.8681,222579.5317,226219.3373,225434.4908,218651.277,72843.13391,87636.37292,361436.5662,275571.7471,102912.1318,72822.43637,203467.9433,59807.26009,305207.8248,416373.0231,77195.7948,91843.32935,236105.7223,360318.3601,318351.5988,284239.1719,381813.6713,440382.1974,114187.4285,117579.6709
3056,646.3079839,646.3064432,646.3095943,659.388,658.951,659.919,27,7,10,10,93750.54328,88410.85731,89472.32098,85677.18521,85793.63672,86702.55343,85140.87801,31063.93204,34353.07116,138690.3002,105700.1609,40297.08432,28567.53909,77203.23198,24608.80111,117997.0002,157570.8984,31996.12902,37886.43,91637.14327,138506.6887,122657.5499,110072.725,144033.552,166421.8097,44705.75212,45176.60318
3061,646.809207,646.8072083,646.8109845,659.3885,658.951,660.051,26,7,9,10,28284.79941,26123.28591,26557.60116,25301.70501,25438.64904,25558.24478,24201.75511,8997.823592,10463.56075,39125.23684,30905.28527,12590.35239,8929.571563,22847.85451,6823.937973,35155.4915,46877.72883,9431.562814,11510.49662,28331.97258,38690.39445,34622.08946,33145.93908,43329.08454,48808.12898,13312.14091,13681.1755
3065,647.3084952,647.3065902,647.3104043,659.3485,658.951,660.051,18,7,5,6,9630.184599,9290.487855,9001.570719,8921.998644,8841.00267,9030.911905,9155.08708,4174.083045,4269.992321,14270.853,8280.821776,5583.149884,2897.052132,7188.809082,2106.610007,11699.16718,11760.18634,4600.626206,4008.996157,9838.07621,12516.06549,13800.81346,8511.742135,11976.64152,13781.98878,6450.8535,4597.147003
3106,656.2956219,656.2945014,656.2975751,659.455,658.951,660.051,27,7,10,10,40332.35112,40179.87055,40941.75059,37510.76611,38825.57002,39815.98487,37079.47317,13524.03184,15721.34923,58129.18785,47742.82288,19342.26077,14331.06675,32801.54173,11168.97193,50775.96708,67578.26951,13936.79736,16850.26381,38328.12721,60850.34182,47036.0273,44824.86168,61757.89606,69049.64295,21561.83946,20935.92128
3109,656.7971313,656.7947896,656.7991543,659.388,658.951,660.262,27,7,10,10,28359.37602,28181.93891,28039.52707,25985.99122,26268.69596,27058.53707,24856.37851,9374.808387,11336.03996,40502.28902,32562.78618,13384.90284,9166.353989,22905.65298,8318.937104,34617.77746,46619.39557,9664.46327,12024.18398,26429.72632,42057.28128,32106.82092,29700.74313,40244.65095,47757.06614,14954.25464,15023.97031
3112,657.2963134,657.2940208,657.2972525,659.358,658.951,660.051,19,7,5,7,13976.14193,13336.95587,13319.46785,12741.40624,12876.4787,12523.30696,13087.2406,5479.442889,5540.227988,19050.47815,15806.73331,6598.157783,4872.689025,11383.73619,3806.953608,16849.33869,23564.10672,4875.918505,5642.463133,12438.93777,20635.7746,15749.61245,15551.37825,21689.25517,23513.09057,6947.225318,8019.40673
